sample_name	Number.of.input.reads	Average.input.read.length	Uniquely.mapped.reads.number	Uniquely.mapped.reads..	Average.mapped.length	Number.of.splices..Total	Number.of.splices..Annotated..sjdb.	Number.of.splices..GT.AG	Number.of.splices..GC.AG	Number.of.splices..AT.AC	Number.of.splices..Non.canonical	Mismatch.rate.per.base...	Deletion.rate.per.base	Deletion.average.length	Insertion.rate.per.base	Insertion.average.length	Number.of.reads.mapped.to.multiple.loci	X..of.reads.mapped.to.multiple.loci	Number.of.reads.mapped.to.too.many.loci	X..of.reads.mapped.to.too.many.loci	Number.of.reads.unmapped..too.many.mismatches	X..of.reads.unmapped..too.many.mismatches	Number.of.reads.unmapped..too.short	X..of.reads.unmapped..too.short	Number.of.reads.unmapped..other	X..of.reads.unmapped..other	num_fq_sets
HNSC-WA-A7GZ-TP	68578502	96	61967181	90.36%	95.01	14618158	14459945	14498080	99626	11868	8584	0.33%	0.00%	1.45	0.00%	1.22	3412347	4.98%	32379	0.05%	637	0.00%	3120555	4.55%	45403	0.07%	2
BRCA-BH-A208-TP	77731566	100	70225050	90.34%	99.08	16883850	16705072	16782093	79983	9735	12039	0.30%	0.00%	1.46	0.01%	1.3	3871870	4.98%	14410	0.02%	665	0.00%	3599099	4.63%	20472	0.03%	2
PRAD-V1-A9O5-TP	77723803	96	69403529	89.30%	95.09	14743405	14587819	14605634	111762	14206	11803	0.21%	0.00%	1.46	0.01%	1.2	3522811	4.53%	29091	0.04%	803	0.00%	4733103	6.09%	34466	0.04%	2
SKCM-3N-A9WB-TM	65940422	96	59779741	90.66%	95.19	12318724	12213597	12217366	84431	9967	6960	0.21%	0.00%	1.49	0.01%	1.21	3425020	5.19%	31280	0.05%	654	0.00%	2681292	4.07%	22435	0.03%	2
BRCA-A1-A0SQ-TP	67682973	100	61129417	90.32%	99.03	14488445	14339767	14363277	103700	11868	9600	0.45%	0.00%	1.45	0.01%	1.2	3485095	5.15%	49514	0.07%	899	0.00%	2990122	4.42%	27926	0.04%	2
KIRC-CJ-4881-TP	73912169	100	64665318	87.49%	99.21	11675536	11471493	11574693	81057	8215	11571	0.24%	0.00%	1.46	0.01%	1.23	5640800	7.63%	39396	0.05%	921	0.00%	3529837	4.78%	35897	0.05%	2
COAD-AA-3494-TP	32860349	76	27663349	84.18%	74.26	6696592	6636202	6643394	42428	5962	4808	0.43%	0.01%	1.5	0.01%	1.28	3656771	11.13%	21429	0.07%	0	0.00%	1508325	4.59%	10475	0.03%	1
BRCA-A8-A08C-TP	76386686	100	68199223	89.28%	99.18	16229259	16072692	16090676	110900	12275	15408	0.26%	0.00%	1.45	0.01%	1.23	4421817	5.79%	36548	0.05%	811	0.00%	3684766	4.82%	43521	0.06%	2
BRCA-B6-A1KF-TP	58344287	100	52160398	89.40%	99.14	10277895	10187473	10199036	61565	10115	7179	0.30%	0.00%	1.39	0.01%	1.24	3424980	5.87%	19661	0.03%	377	0.00%	2715166	4.65%	23705	0.04%	2
THCA-E8-A438-TP	77589465	96	68850058	88.74%	95.25	10968059	10850568	10887942	60549	7139	12429	0.19%	0.00%	1.47	0.01%	1.2	6143132	7.92%	42598	0.05%	632	0.00%	2507279	3.23%	45766	0.06%	2
PAAD-HZ-7923-TP	86094483	96	78217540	90.85%	95.13	15501304	15064959	15382337	97391	9788	11788	0.26%	0.00%	1.45	0.01%	1.22	4712478	5.47%	43941	0.05%	1194	0.00%	3071919	3.57%	47411	0.06%	2
LIHC-G3-A3CH-TP	63845962	96	56941050	89.19%	95.14	11875980	11758364	11793558	70279	5642	6501	0.23%	0.00%	1.48	0.01%	1.16	3693391	5.78%	9669	0.02%	296	0.00%	3186810	4.99%	14746	0.02%	2
UCEC-D1-A0ZZ-TP	34223745	76	30062785	87.84%	74.92	5744312	5685398	5694441	38121	5537	6213	0.40%	0.01%	2.02	0.01%	1.31	3235364	9.45%	27275	0.08%	0	0.00%	878628	2.57%	19693	0.06%	1
KIRP-GL-7773-TP	59718225	96	54303436	90.93%	95.08	10681152	10559095	10585195	79232	8969	7756	0.41%	0.00%	1.43	0.00%	1.19	3276951	5.49%	19061	0.03%	426	0.00%	2097015	3.51%	21336	0.04%	2
KIRP-IZ-8196-TP	53114972	96	48646267	91.59%	95.18	9852986	9738717	9761655	76145	8149	7037	0.20%	0.00%	1.43	0.01%	1.2	2638426	4.97%	22691	0.04%	491	0.00%	1777607	3.35%	29490	0.06%	2
STAD-VQ-A922-TP	94459618	150	72433973	76.68%	148.56	26962708	26467038	26711020	192328	24833	34527	0.61%	0.00%	1.23	0.01%	1.53	6316434	6.69%	78255	0.08%	87170	0.09%	15488270	16.40%	55516	0.06%	2
LUSC-92-7340-NT	90861541	96	82402021	90.69%	95.08	16580057	16391709	16448906	106457	11520	13174	0.32%	0.00%	1.46	0.01%	1.21	4206787	4.63%	39224	0.04%	894	0.00%	4175258	4.60%	37357	0.04%	2
LIHC-DD-AACG-TP	53937485	96	41682611	77.28%	95.19	9424446	9320259	9389783	28341	2484	3838	0.17%	0.00%	1.43	0.01%	1.18	4945950	9.17%	36282	0.07%	251	0.00%	7251248	13.44%	21143	0.04%	2
THCA-DJ-A3VD-TP	79737200	96	69178576	86.76%	94.64	15104999	14555187	14991087	91826	10193	11893	0.34%	0.00%	1.31	0.01%	1.2	5018886	6.29%	25582	0.03%	949	0.00%	5493790	6.89%	19417	0.02%	2
CESC-C5-A1BQ-TP	95395712	96	84037551	88.09%	95.05	18022318	17810404	17875984	117684	13201	15449	0.29%	0.00%	1.45	0.01%	1.21	5611479	5.88%	44274	0.05%	1235	0.00%	5648675	5.92%	52498	0.06%	2
BRCA-A2-A3XW-TP	85264500	96	73085056	85.72%	95.02	16687334	16529975	16575693	90278	10686	10677	0.22%	0.00%	1.46	0.00%	1.22	5308909	6.23%	28812	0.03%	651	0.00%	6801091	7.98%	39981	0.05%	2
COAD-AA-3970-TP	24763329	76	20242508	81.74%	75.33	4193177	4118963	4159251	27405	3712	2809	0.27%	0.01%	1.57	0.01%	1.28	3421672	13.82%	16321	0.07%	0	0.00%	1073980	4.34%	8848	0.04%	1
BRCA-BH-A0B2-TP	66082468	100	59162419	89.53%	99.13	14735531	14549968	14620401	90634	10842	13654	0.25%	0.00%	1.42	0.01%	1.22	3903202	5.91%	33806	0.05%	587	0.00%	2962334	4.48%	20120	0.03%	2
KIRC-BP-4331-TP	81984715	96	75266415	91.81%	95.16	15152628	14976804	15009321	119742	12432	11133	0.26%	0.00%	1.45	0.00%	1.21	4272421	5.21%	39422	0.05%	717	0.00%	2362095	2.88%	43645	0.05%	2
PRAD-HC-7079-TP	73845205	96	63594041	86.12%	95.07	12254355	11545188	12158392	77771	8649	9543	0.25%	0.00%	1.35	0.01%	1.22	4583713	6.21%	29208	0.04%	754	0.00%	5605284	7.59%	32205	0.04%	2
CESC-C5-A7CJ-TP	60614666	96	55331037	91.28%	95.15	11181553	11006951	11087789	77195	8934	7635	0.30%	0.00%	1.5	0.01%	1.23	3092533	5.10%	32653	0.05%	544	0.00%	2121309	3.50%	36590	0.06%	2
SKCM-YD-A9TB-TM	46514056	96	40840230	87.80%	95.17	8690651	8610964	8624442	53887	7329	4993	0.21%	0.00%	1.45	0.01%	1.23	2741967	5.89%	11898	0.03%	346	0.00%	2907770	6.25%	11845	0.03%	2
LGG-QH-A6CU-TP	56477706	96	51105941	90.49%	95.24	6780664	6707659	6730486	40972	5074	4132	0.51%	0.00%	1.42	0.01%	1.22	2838725	5.03%	15262	0.03%	471	0.00%	2506022	4.44%	11285	0.02%	2
LIHC-DD-AACF-TP	62887311	96	56188232	89.35%	95.15	13626796	13482555	13519361	93724	6374	7337	0.19%	0.00%	1.43	0.00%	1.18	3515564	5.59%	9742	0.02%	343	0.00%	3162449	5.03%	10981	0.02%	2
SKCM-D3-A1Q1-TM	83382858	96	74787648	89.69%	95.09	19430708	19318153	19287936	117766	15904	9102	0.17%	0.00%	1.41	0.01%	1.19	5604011	6.72%	18357	0.02%	528	0.00%	2956305	3.55%	16009	0.02%	2
LUAD-NJ-A4YG-TP	52302762	96	47181352	90.21%	95.29	8867432	8758685	8793750	57635	6272	9775	0.25%	0.00%	1.5	0.01%	1.23	3376278	6.46%	31270	0.06%	518	0.00%	1689906	3.23%	23438	0.04%	2
LGG-DH-5144-TP	79397034	96	72465238	91.27%	95.29	13497037	13370742	13383676	92574	11517	9270	0.20%	0.00%	1.4	0.01%	1.21	4351736	5.48%	21479	0.03%	451	0.00%	2534642	3.19%	23488	0.03%	2
BRCA-5L-AAT0-TP	43544158	96	39555381	90.84%	95.25	8282187	8185330	8213964	52694	5787	9742	0.19%	0.00%	1.43	0.01%	1.22	2765784	6.35%	19525	0.04%	347	0.00%	1183635	2.72%	19486	0.04%	2
BRCA-B6-A40B-TP	84780211	96	77106809	90.95%	95.13	15644092	15479893	15516315	98165	11338	18274	0.23%	0.00%	1.46	0.01%	1.24	4771213	5.63%	38979	0.05%	559	0.00%	2812922	3.32%	49729	0.06%	2
SKCM-ER-A19P-TM	83650532	96	74353118	88.89%	95.04	15386841	14577469	15267948	95585	11558	11750	0.25%	0.00%	1.27	0.00%	1.2	5169502	6.18%	35944	0.04%	1341	0.00%	4044849	4.84%	45778	0.05%	2
STAD-IN-AB1V-TP	118369758	150	90663393	76.59%	148.23	29768922	29249545	29500109	204099	21224	43490	0.60%	0.00%	1.18	0.01%	1.47	5856305	4.95%	103170	0.09%	130956	0.11%	21548129	18.20%	67805	0.06%	2
LIHC-BD-A3EP-TP	54615391	96	48908451	89.55%	95.09	10777094	10448870	10686866	79632	5162	5434	0.27%	0.00%	1.41	0.00%	1.19	3596545	6.59%	34383	0.06%	372	0.00%	2060472	3.77%	15168	0.03%	2
OV-25-1318-TP	80231489	150	67055808	83.58%	148.54	23627312	23244511	23331510	196139	21385	78278	0.39%	0.01%	1.64	0.01%	1.43	9486682	11.82%	54293	0.07%	16996	0.02%	3585046	4.47%	32664	0.04%	2
UCEC-EO-A3AZ-TP	54265252	96	44998103	82.92%	94.88	8604979	8549213	8569607	27909	2469	4994	0.33%	0.01%	1.54	0.01%	1.2	6091030	11.22%	25269	0.05%	526	0.00%	3066401	5.65%	83923	0.15%	2
BRCA-AO-A0J3-TP	101807925	100	92121575	90.49%	99.23	17505012	17335730	17325763	137038	18000	24211	0.28%	0.00%	1.4	0.01%	1.21	5313192	5.22%	29998	0.03%	1238	0.00%	4300857	4.22%	41065	0.04%	2
LUSC-39-5019-TP	119639606	100	106349740	88.89%	99.03	25995664	25430311	25792920	164491	20588	17665	0.40%	0.00%	1.36	0.01%	1.23	7968515	6.66%	48549	0.04%	1250	0.00%	5174504	4.33%	97048	0.08%	2
KIRC-B0-5693-TP	69101433	100	59171255	85.63%	99.06	13371631	13221466	13248007	101493	11297	10834	0.32%	0.00%	1.43	0.01%	1.23	3600158	5.21%	19281	0.03%	1057	0.00%	6284692	9.09%	24990	0.04%	2
BRCA-AC-A2FB-NT	95095346	100	83923406	88.25%	99.06	18527524	18267911	18384033	117185	12951	13355	0.31%	0.00%	1.4	0.01%	1.22	6478533	6.81%	28973	0.03%	1081	0.00%	4637236	4.88%	26117	0.03%	2
SARC-SI-AA8B-TP	58813175	96	54210306	92.17%	94.99	13620815	13539530	13536693	65645	9094	9383	0.25%	0.00%	1.52	0.01%	1.2	2699185	4.59%	19994	0.03%	725	0.00%	1863927	3.17%	19038	0.03%	2
COAD-AA-3982-TP	26479339	76	22129087	83.57%	74.76	4640641	4584782	4604790	28132	4013	3706	0.26%	0.01%	1.54	0.01%	1.3	2699877	10.20%	40760	0.15%	0	0.00%	1575363	5.95%	34252	0.13%	1
THCA-DE-A4M9-TP	67315309	96	61618375	91.54%	95.13	12302922	12180322	12199559	82573	9576	11214	0.18%	0.00%	1.45	0.01%	1.22	3489893	5.18%	31416	0.05%	509	0.00%	2142877	3.18%	32239	0.05%	2
THCA-EM-A1CV-NT	72880328	96	65277648	89.57%	94.75	14303702	14185831	14193957	85729	12207	11809	0.29%	0.00%	1.49	0.01%	1.2	4028765	5.53%	23398	0.03%	365	0.00%	3530834	4.84%	19318	0.03%	2
LGG-P5-A5F4-TP	58521798	96	52654015	89.97%	95.26	8141057	8054915	8072349	56906	6887	4915	0.26%	0.00%	1.33	0.01%	1.21	3579389	6.12%	23486	0.04%	372	0.00%	2245321	3.84%	19215	0.03%	2
LUAD-50-5051-TP	43500263	97	38190171	87.79%	95.94	6352915	6224258	6295895	45077	4799	7144	0.34%	0.00%	1.38	0.01%	1.21	3024698	6.95%	21721	0.05%	483	0.00%	2236623	5.14%	26567	0.06%	2
LUSC-22-5472-TP	72130401	100	65358176	90.61%	99.01	15639527	15497975	15514212	101797	12337	11181	0.37%	0.00%	1.4	0.01%	1.22	3792045	5.26%	28706	0.04%	620	0.00%	2922782	4.05%	28072	0.04%	2
COAD-AA-3514-TP	28105062	76	23638446	84.11%	74	6095046	6032417	6053732	31647	4957	4710	0.43%	0.06%	2.66	0.01%	2.01	2446010	8.70%	16496	0.06%	0	0.00%	1993130	7.09%	10980	0.04%	1
LUAD-97-A4M6-TP	57754113	96	51416265	89.03%	95.2	9006083	8850323	8924580	66115	7452	7936	0.31%	0.00%	1.42	0.01%	1.21	3428735	5.94%	36512	0.06%	510	0.00%	2826251	4.89%	45840	0.08%	2
HNSC-D6-A4ZB-TP	52055875	96	45963801	88.30%	95.03	9149386	8892141	9077922	58861	6494	6109	0.21%	0.00%	1.36	0.01%	1.2	3195915	6.14%	38581	0.07%	478	0.00%	2795878	5.37%	61222	0.12%	2
COAD-AA-3692-TP	36672603	76	30925137	84.33%	74.61	7274014	7202075	7220623	42863	5631	4897	0.57%	0.01%	1.71	0.00%	1.57	4124396	11.25%	30222	0.08%	0	0.00%	1578149	4.30%	14699	0.04%	1
PRAD-YL-A8SL-TP	59826872	96	52821852	88.29%	95.15	10903154	10791808	10803923	79974	9762	9495	0.22%	0.00%	1.48	0.01%	1.21	3360351	5.62%	30807	0.05%	519	0.00%	3584291	5.99%	29052	0.05%	2
BRCA-BH-A0C1-TP	74601148	100	68320558	91.58%	99.13	16468587	16316216	16332208	110901	13153	12325	0.28%	0.00%	1.42	0.01%	1.22	3972709	5.33%	24406	0.03%	647	0.00%	2252667	3.02%	30161	0.04%	2
BRCA-E2-A14V-TP	79023568	100	72613996	91.89%	99.19	16395497	16254138	16253784	114605	14085	13023	0.24%	0.00%	1.38	0.01%	1.23	4249043	5.38%	24896	0.03%	631	0.00%	2100554	2.66%	34448	0.04%	2
HNSC-CQ-5331-TP	112938935	96	101409855	89.79%	95.08	24454306	24020522	24273265	152189	15264	13588	0.31%	0.00%	1.43	0.00%	1.19	7554835	6.69%	64912	0.06%	1056	0.00%	3836219	3.40%	72058	0.06%	2
LIHC-CC-A1HT-TP	101287769	100	91582143	90.42%	99.03	19667057	19396607	19499726	136775	16548	14008	0.41%	0.01%	1.43	0.01%	1.22	5928633	5.85%	74653	0.07%	1092	0.00%	3650799	3.60%	50449	0.05%	2
KIRP-BQ-7045-NT	63602290	96	57449424	90.33%	94.92	12089909	11876739	11991010	82575	8800	7524	0.43%	0.00%	1.4	0.00%	1.18	3447085	5.42%	10561	0.02%	485	0.00%	2682942	4.22%	11793	0.02%	2
LUSC-22-4601-TP	34810330	100	30615157	87.95%	99.09	6656792	6519914	6593990	50166	6642	5994	0.25%	0.00%	1.4	0.01%	1.22	1957696	5.62%	19762	0.06%	543	0.00%	2186424	6.28%	30748	0.09%	2
BRCA-BH-A0H5-NT	65529573	100	58661113	89.52%	99.16	12048671	11897223	11945245	84149	8915	10362	0.22%	0.01%	1.42	0.01%	1.23	3743199	5.71%	32344	0.05%	742	0.00%	3053840	4.66%	38335	0.06%	2
BRCA-AN-A0FW-TP	92365526	100	81629167	88.38%	98.98	19576392	19414549	19410909	129172	17380	18931	0.24%	0.00%	1.43	0.01%	1.26	6047586	6.55%	101085	0.11%	1578	0.00%	4534051	4.91%	52059	0.06%	2
TGCT-W4-A7U4-TP	72884145	96	65757815	90.22%	95.25	15114804	14948494	14979064	110782	16286	8672	0.19%	0.00%	1.41	0.01%	1.19	5246453	7.20%	80647	0.11%	543	0.00%	1648814	2.26%	149873	0.21%	2
BLCA-G2-A2ES-TP	78087122	96	69933724	89.56%	94.71	15336533	15196468	15212530	100521	11642	11840	0.37%	0.00%	1.42	0.00%	1.2	5312419	6.80%	33955	0.04%	835	0.00%	2768818	3.55%	37371	0.05%	2
PRAD-EJ-5521-TP	96991267	96	89257379	92.03%	94.93	19842708	19682122	19671509	138500	17414	15285	0.26%	0.00%	1.44	0.01%	1.2	5428130	5.60%	17714	0.02%	510	0.00%	2264726	2.33%	22808	0.02%	2
LAML-AB-2833-TB	81380253	100	59035149	72.54%	98.28	7687615	7559238	7604094	64885	7187	11449	0.50%	0.00%	1.43	0.01%	1.25	6817549	8.38%	75704	0.09%	3247	0.00%	14701720	18.07%	746884	0.92%	2
UCEC-DF-A2KR-TP	59610922	96	52596185	88.23%	95.14	10554575	10441046	10455493	79433	8168	11481	0.26%	0.00%	1.37	0.01%	1.21	4155040	6.97%	23245	0.04%	384	0.00%	2814200	4.72%	21868	0.04%	2
LUSC-77-A5G7-TP	45785258	96	41170883	89.92%	95.23	7534685	7399194	7476591	45432	7156	5506	0.28%	0.00%	1.39	0.01%	1.2	3181218	6.95%	27866	0.06%	416	0.00%	1354065	2.96%	50810	0.11%	2
KIRC-A3-3380-TP	88596883	100	77567874	87.55%	99.24	14550788	14389466	14410033	116213	11348	13194	0.24%	0.01%	1.45	0.01%	1.26	7805149	8.81%	55784	0.06%	2926	0.00%	3106609	3.51%	58541	0.07%	2
LUSC-39-5039-TP	47447775	100	39813926	83.91%	98.96	10697891	10481962	10618641	63182	7720	8348	0.38%	0.00%	1.45	0.01%	1.21	3153069	6.65%	10194	0.02%	370	0.00%	4454874	9.39%	15342	0.03%	2
BLCA-4Z-AA81-TP	48107333	96	43581695	90.59%	95.17	9816501	9685331	9732887	68250	8487	6877	0.19%	0.00%	1.47	0.01%	1.21	2699526	5.61%	13453	0.03%	384	0.00%	1794797	3.73%	17478	0.04%	2
CESC-UC-A7PI-TP	67790210	96	59596894	87.91%	95.1	12518277	12385517	12400564	91544	12316	13853	0.23%	0.00%	1.46	0.01%	1.2	3060782	4.52%	41303	0.06%	720	0.00%	5060574	7.47%	29937	0.04%	2
CESC-FU-A3YQ-TP	90938318	96	80604135	88.64%	95.17	16253190	15672824	16126140	102638	12338	12074	0.26%	0.00%	1.35	0.01%	1.22	5311743	5.84%	52803	0.06%	1305	0.00%	4906334	5.40%	61998	0.07%	2
KIRP-BQ-5878-TP	91210547	96	83824434	91.90%	94.93	20306081	20121441	20122568	155312	15986	12215	0.24%	0.00%	1.44	0.00%	1.2	4659885	5.11%	32544	0.04%	785	0.00%	2661709	2.92%	31190	0.03%	2
HNSC-BA-A4IF-TP	60738861	96	54676211	90.02%	95.12	12131547	12005007	12032270	81929	9896	7452	0.26%	0.00%	1.46	0.01%	1.19	3339956	5.50%	27892	0.05%	360	0.00%	2640138	4.35%	54304	0.09%	2
COAD-AA-3939-TP	25436102	76	20863908	82.02%	74.86	4870663	4814287	4836743	26135	3857	3928	0.27%	0.01%	1.5	0.01%	1.3	3055623	12.01%	16966	0.07%	0	0.00%	1494080	5.87%	5525	0.02%	1
ESCA-LN-A49N-TP	187356342	150	163264866	87.14%	148.06	59177973	57545347	58611851	422472	40132	103518	0.47%	0.01%	1.39	0.01%	1.5	10266654	5.48%	186003	0.10%	169489	0.09%	13249271	7.07%	220059	0.12%	2
CESC-FU-A3EO-TP	62645232	96	49644848	79.25%	95.1	9784249	9720663	9731921	33738	4078	14512	0.23%	0.00%	1.42	0.01%	1.2	5123603	8.18%	22386	0.04%	637	0.00%	7786570	12.43%	67188	0.11%	2
KIRC-B0-5119-TP	72859329	100	66716712	91.57%	99.25	14261998	14113372	14129046	111302	11101	10549	0.30%	0.00%	1.41	0.01%	1.23	3597021	4.94%	20555	0.03%	530	0.00%	2502703	3.43%	21808	0.03%	2
LGG-S9-A7IS-TP	80224056	96	72194033	89.99%	95.08	13564727	13422543	13446273	95540	12981	9933	0.29%	0.00%	1.44	0.00%	1.2	4193165	5.23%	30776	0.04%	716	0.00%	3778505	4.71%	26861	0.03%	2
SARC-SG-A849-TP	73207962	96	62090180	84.81%	95.05	13785667	13625375	13684653	82975	9742	8297	0.32%	0.00%	1.43	0.01%	1.23	6760133	9.23%	98375	0.13%	795	0.00%	4236617	5.79%	21862	0.03%	2
COAD-AA-3968-TP	29432629	76	23290280	79.13%	75.21	4290998	4222028	4256920	26045	3911	4122	0.27%	0.01%	1.47	0.01%	1.29	5188838	17.63%	25071	0.09%	0	0.00%	917456	3.12%	10984	0.04%	1
BLCA-BL-A13J-NT	43465627	96	40371463	92.88%	95.13	8281199	8224256	8226476	45006	4776	4941	0.16%	0.00%	1.44	0.01%	1.19	1998435	4.60%	9409	0.02%	262	0.00%	1076496	2.48%	9562	0.02%	2
BRCA-OL-A5RY-TP	53798792	96	47271787	87.87%	95.09	10581395	10162607	10504819	63067	6898	6611	0.31%	0.00%	1.47	0.01%	1.22	3745979	6.96%	16934	0.03%	420	0.00%	2750665	5.11%	13007	0.02%	2
THCA-E8-A418-TP	106313695	96	95237416	89.58%	95.19	20260902	20091386	20089075	136914	15376	19537	0.20%	0.00%	1.42	0.01%	1.19	6587761	6.20%	29877	0.03%	746	0.00%	4425986	4.16%	31909	0.03%	2
KIRC-A3-3387-TP	85590405	100	75917486	88.70%	99.05	17612177	17396019	17452083	133027	14799	12268	0.29%	0.01%	1.44	0.01%	1.22	4277804	5.00%	28651	0.03%	1441	0.00%	5329224	6.23%	35799	0.04%	2
BRCA-GM-A2DL-TP	58848572	96	53327123	90.62%	95.2	10838641	10761412	10754521	67968	8023	8129	0.28%	0.00%	1.42	0.01%	1.2	4068434	6.91%	21826	0.04%	434	0.00%	1413382	2.40%	17373	0.03%	2
BLCA-E7-A97Q-TP	62399631	96	55845547	89.50%	95.31	7897850	7762818	7823278	60016	6817	7739	0.22%	0.00%	1.47	0.01%	1.23	3499874	5.61%	50994	0.08%	901	0.00%	2952136	4.73%	50179	0.08%	2
LGG-HW-A5KK-TP	70420448	96	65263038	92.68%	95.22	9976476	9856180	9893944	68420	7689	6423	0.23%	0.00%	1.42	0.01%	1.22	3126717	4.44%	31921	0.05%	560	0.00%	1970944	2.80%	27268	0.04%	2
KIRP-SX-A7SL-TP	53963039	96	42283254	78.36%	95.24	6373932	6304633	6315006	46449	5696	6781	0.29%	0.00%	1.43	0.01%	1.19	6929529	12.84%	33018	0.06%	421	0.00%	4695791	8.70%	21026	0.04%	2
BRCA-E2-A1LK-TP	45852357	100	40719772	88.81%	99.12	8874948	8791767	8798549	61799	8099	6501	0.43%	0.00%	1.41	0.01%	1.22	2419426	5.28%	22081	0.05%	390	0.00%	2672158	5.83%	18530	0.04%	2
KIRP-2Z-A9J7-TP	56111385	96	49356391	87.96%	95.16	9975574	9885010	9894593	62803	7866	10312	0.29%	0.00%	1.36	0.01%	1.19	4147939	7.39%	19170	0.03%	387	0.00%	2566990	4.57%	20508	0.04%	2
BRCA-C8-A27A-TP	99897403	100	90625359	90.72%	99.09	17574961	17323077	17399270	137805	17744	20142	0.40%	0.01%	1.45	0.01%	1.23	5340439	5.35%	47593	0.05%	1394	0.00%	3807952	3.81%	74666	0.07%	2
LIHC-G3-A25Z-TP	84819749	96	76296488	89.95%	95.17	16892968	16638237	16751617	125050	7158	9143	0.22%	0.00%	1.42	0.00%	1.17	6251267	7.37%	10288	0.01%	353	0.00%	2242783	2.64%	18570	0.02%	2
THCA-EM-A1CT-NT	87016862	96	79208061	91.03%	95.23	15426232	15294646	15300744	97926	14078	13484	0.26%	0.00%	1.45	0.01%	1.2	5687040	6.54%	26121	0.03%	491	0.00%	2068475	2.38%	26674	0.03%	2
LGG-TM-A84H-TP	79141103	96	71560948	90.42%	95.18	11713901	11536364	11608941	85771	9963	9226	0.32%	0.00%	1.41	0.01%	1.21	4601879	5.81%	57097	0.07%	1078	0.00%	2869840	3.63%	50261	0.06%	2
BRCA-AR-A1AJ-TP	64048350	100	58122935	90.75%	99.05	13618189	13379535	13508235	90910	11241	7803	0.29%	0.00%	1.42	0.01%	1.25	3095890	4.83%	28156	0.04%	532	0.00%	2772942	4.33%	27895	0.04%	2
ESCA-LN-A49P-TP	112481005	150	97951821	87.08%	148.67	38525390	37906816	38171391	269008	29588	55403	0.59%	0.00%	1.1	0.01%	1.46	6534883	5.81%	98075	0.09%	188840	0.17%	7596699	6.75%	110687	0.10%	2
LGG-VM-A8CD-TP	82757838	96	73730248	89.09%	95.21	14299717	14164202	14173985	106152	11381	8199	0.23%	0.00%	1.43	0.00%	1.19	6274825	7.58%	30767	0.04%	671	0.00%	2696197	3.26%	25130	0.03%	2
PAAD-2L-AAQA-TP	72021972	96	65390665	90.79%	95.16	12829113	12692734	12715148	87135	9578	17252	0.20%	0.00%	1.46	0.01%	1.21	3974823	5.52%	47173	0.07%	813	0.00%	2564789	3.56%	43709	0.06%	2
READ-DY-A1H8-TP	65269935	96	48453043	74.23%	95.07	7493265	7435244	7435162	34015	4934	19154	0.28%	0.00%	1.43	0.01%	1.19	5791380	8.87%	36569	0.06%	613	0.00%	10957548	16.79%	30782	0.05%	2
OV-04-1362-TP	109169618	150	92900685	85.10%	148.36	32697927	32135933	32308123	263856	29814	96134	0.36%	0.01%	1.53	0.01%	1.4	11525789	10.56%	84625	0.08%	15445	0.01%	4583137	4.20%	59937	0.05%	2
KIRP-2Z-A9JO-TP	60202547	96	52987108	88.01%	95.19	8614076	8529476	8535299	64255	8731	5791	0.32%	0.00%	1.25	0.00%	1.19	4632296	7.69%	10542	0.02%	326	0.00%	2557595	4.25%	14680	0.02%	2
TGCT-2G-AAGA-TP	93808439	96	83480161	88.99%	95.14	19509667	19284524	19347790	131346	19877	10654	0.30%	0.00%	1.4	0.01%	1.22	7036674	7.50%	76956	0.08%	764	0.00%	3058413	3.26%	155471	0.17%	2
BLCA-ZF-AA4N-TP	47952257	96	43586979	90.90%	95.2	9361588	9279006	9290895	58581	7087	5025	0.16%	0.00%	1.4	0.01%	1.21	3016203	6.29%	19721	0.04%	315	0.00%	1294402	2.70%	34637	0.07%	2
UCEC-D1-A16G-TP	33020938	76	28627463	86.69%	74.72	6234771	6170976	6180377	43341	4529	6524	0.82%	0.01%	1.61	0.01%	1.3	3143537	9.52%	24639	0.07%	0	0.00%	1214129	3.68%	11170	0.03%	1
HNSC-D6-A6EN-TP	54088599	96	46447935	85.87%	95.02	10837200	10746295	10770660	54361	5273	6906	0.31%	0.00%	1.49	0.00%	1.19	4098632	7.58%	18717	0.03%	649	0.00%	3497158	6.47%	25508	0.05%	2
LIHC-ZP-A9CZ-TP	55478063	96	51540648	92.90%	95.13	12563947	12386683	12478551	73752	5974	5670	0.18%	0.00%	1.4	0.00%	1.18	2487346	4.48%	10323	0.02%	335	0.00%	1425783	2.57%	13628	0.02%	2
KIRC-B4-5838-TP	63613413	100	57261490	90.01%	99.11	12055270	11956767	11934689	102466	10444	7671	0.28%	0.01%	1.42	0.01%	1.2	4106204	6.45%	10235	0.02%	339	0.00%	2218993	3.49%	16152	0.03%	2
GBM-27-1830-TP	62003335	152	51239016	82.64%	150.66	18499740	18286850	18342898	126151	16016	14675	0.54%	0.01%	1.33	0.00%	1.56	2435052	3.93%	19860	0.03%	33957	0.05%	8242090	13.29%	33360	0.05%	2
GBM-06-0678-NT	62915021	96	56169333	89.28%	95.24	9330584	9223850	9242409	73690	8569	5916	0.27%	0.00%	1.34	0.01%	1.21	3956010	6.29%	19176	0.03%	525	0.00%	2751405	4.37%	18572	0.03%	2
