sample_name	virus	seqlen	mapped	chim_reads	n_bases_covered	frac_covered	sample_type	sample
TARGET-10-PAPSPG-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	66	0	1637	0.046	ALL-tumor	TARGET-10-PAPSPG
TARGET-10-PAPSPG-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	66	0	1637	0.046	ALL-tumor	TARGET-10-PAPSPG
TARGET-20-PASFEW-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	92	0	1443	0.04	AML-tumor	TARGET-20-PASFEW
TARGET-15-SJMPAL040036-03B	HPV92	7461	50	0	3003	0.402	ALL-tumor	TARGET-15-SJMPAL040036
TARGET-15-SJMPAL040036-03B	NC_006273_235646nt_Human_betaherpesvirus_5	235646	64	0	592	0.003	ALL-tumor	TARGET-15-SJMPAL040036
TARGET-20-PADYIR-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	118	0	1204	0.034	AML-tumor	TARGET-20-PADYIR
TARGET-10-PASLCJ-03B	NC_001405_35937nt_Human_mastadenovirus_C	35937	52	0	1570	0.044	ALL-tumor	TARGET-10-PASLCJ
TARGET-20-PASGWH-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	100	0	1348	0.038	AML-tumor	TARGET-20-PASGWH
TARGET-20-PASBPK-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	202	0	1424	0.04	AML-tumor	TARGET-20-PASBPK
TARGET-20-PARIZR-03A	NC_001405_35937nt_Human_mastadenovirus_C	35937	166	0	1592	0.044	AML-tumor	TARGET-20-PARIZR
TARGET-20-PADZCG-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	269	0	1327	0.037	AML-tumor	TARGET-20-PADZCG
TARGET-30-PAPVXS-01A	NC_038307_7399nt_Coxsackievirus_B3	7399	324	142	605	0.082	NBL-tumor	TARGET-30-PAPVXS
TARGET-30-PAPVXS-01A	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	81	0	4810	0.028	NBL-tumor	TARGET-30-PAPVXS
TARGET-20-PARYFN-03A	NC_001405_35937nt_Human_mastadenovirus_C	35937	104	0	1295	0.036	AML-tumor	TARGET-20-PARYFN
TARGET-50-PALKCW-01A	NC_000883_5596nt_Human_parvovirus_B19	5596	80	0	1861	0.333	WT-tumor	TARGET-50-PALKCW
TARGET-20-PARVAI-03A	NC_001405_35937nt_Human_mastadenovirus_C	35937	116	0	1163	0.032	AML-tumor	TARGET-20-PARVAI
TARGET-15-SJMPAL016340-09A	NC_007815_8197nt_PreXMRV_1	8197	1322	29	5479	0.668	ALL-tumor	TARGET-15-SJMPAL016340
TARGET-15-SJMPAL016340-09A	NC_001702_8135nt_Murine_type_C_retrovirus	8135	2966	0	5070	0.623	ALL-tumor	TARGET-15-SJMPAL016340
TARGET-15-SJMPAL016340-09A	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	834	0	2678	0.321	ALL-tumor	TARGET-15-SJMPAL016340
TARGET-15-SJMPAL016340-09A	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	909	0	1755	0.211	ALL-tumor	TARGET-15-SJMPAL016340
