TCGA	sample_id	seqtype	chrom	virus	contig	sample_region_expr	mean_region_expr	log2_fold_change	expr_quantile	region_gene_list
CESC	CESC-JX-A5QV-TP	RNA	chr11	HPV16	chr11~120827433~+~HPV16~1191~+	16.98	8.42	1.01	1.00	GRIK4^ENSG00000149403.10
CESC	CESC-JX-A5QV-TP	RNA	chr6	HPV16	chr6~7126094~+~HPV16~7128~+	16.01	16.54	-0.05	0.20	RREB1^ENSG00000124782.18
CESC	CESC-JX-A5QV-TP	RNA	chr7	HPV16	chr7~151004996~+~HPV16~7128~+	32.69	29.03	0.17	0.95	NOS3^ENSG00000164867.9,ATG9B^ENSG00000181652.17
CESC	CESC-JX-A5QV-TP	RNA	chr6	HPV16	chr6~151447952~+~HPV16~7128~+	35.17	34.88	0.01	0.58	RMND1^ENSG00000155906.15,C6orf211^ENSG00000146476.9
CESC	CESC-JX-A5QV-TP	RNA	chr17	HPV16	chr17~2755163~+~HPV16~7128~+	0.00	6.44	-9.33	0.15	RP11-74E22.4^ENSG00000261963.2,MIR1253^ENSG00000221200.1,MIR1253^ENSG00000272920.1
CESC	CESC-JX-A5QV-TP	RNA	chr1	HPV16	chr1~46499175~+~HPV16~7128~+	11.19	13.19	-0.24	0.24	DMBX1^ENSG00000197587.9
CESC	CESC-JX-A5QV-TP	RNA	chr1	HPV16	chr1~43819232~+~HPV16~7128~+	15.13	15.42	-0.03	0.34	ST3GAL3^ENSG00000126091.18
CESC	CESC-JX-A5QV-TP	RNA	chr11	HPV16	chr11~120819921~+~HPV16~2708~+	16.98	8.42	1.01	1.00	GRIK4^ENSG00000149403.10
CESC	CESC-JX-A5QV-TP	RNA	chr11	HPV16	HPV16~1191~+~chr11~120804742~+	16.98	8.42	1.01	1.00	GRIK4^ENSG00000149403.10
CESC	CESC-JX-A5QV-TP	RNA	chr11	HPV16	chr11~120495386~+~HPV16~3682~+	16.78	16.75	0.00	0.52	ARHGEF12^ENSG00000196914.7
CESC	CESC-JX-A5QV-TP	RNA	chr11	HPV16	HPV16~227~+~chr11~120815377~+	16.98	8.42	1.01	1.00	GRIK4^ENSG00000149403.10
CESC	CESC-JX-A5QV-TP	RNA	chr16	HPV16	chr16~88696788~+~HPV16~889~-	43.71	47.67	-0.13	0.12	SNAI3-AS1^ENSG00000260630.5,AC138028.1^ENSG00000280603.1,RNF166^ENSG00000158717.9,RP5-1142A6.5^ENSG00000259813.1,CTU2^ENSG00000174177.11
CESC	CESC-JX-A5QV-TP	RNA	chr11	HPV16	chr11~120795593~+~HPV16~5638~+	16.98	8.42	1.01	1.00	GRIK4^ENSG00000149403.10
CESC	CESC-JX-A5QV-TP	RNA	chr11	HPV16	chr11~120827433~+~HPV16~3355~+	16.98	8.42	1.01	1.00	GRIK4^ENSG00000149403.10
CESC	CESC-JX-A5QV-TP	RNA	chr18	HPV16	chr18~23604666~+~HPV16~7128~+	16.57	14.23	0.22	0.92	ANKRD29^ENSG00000154065.15
CESC	CESC-JX-A5QV-TP	RNA	chr1	HPV16	chr1~153672678~+~HPV16~7128~+	34.97	35.37	-0.02	0.47	ILF2^ENSG00000143621.15,NPR1^ENSG00000169418.9
CESC	CESC-JX-A5QV-TP	RNA	chr11	HPV16	chr11~120815478~+~HPV16~2705~+	16.98	8.42	1.01	1.00	GRIK4^ENSG00000149403.10
CESC	CESC-JX-A5QV-TP	RNA	chr19	HPV16	chr19~44758807~+~HPV16~5643~+	53.46	24.09	1.15	1.00	BCL3^ENSG00000069399.11,MIR8085^ENSG00000277736.1,SNORA70^ENSG00000253027.1,AC092066.6^ENSG00000236807.1
CESC	CESC-JX-A5QV-TP	RNA	chr1	HPV16	chr1~31056436~+~HPV16~7136~+	29.92	21.78	0.46	0.83	PUM1^ENSG00000134644.14,RP11-201O14.2^ENSG00000232768.1
CESC	CESC-JX-A5QV-TP	RNA	chr19	HPV16	chr19~44758064~+~HPV16~2341~-	53.46	24.09	1.15	1.00	BCL3^ENSG00000069399.11,MIR8085^ENSG00000277736.1,SNORA70^ENSG00000253027.1,AC092066.6^ENSG00000236807.1
CESC	CESC-JX-A5QV-TP	RNA	chr11	HPV16	chr11~120795836~+~HPV16~4739~+	16.98	8.42	1.01	1.00	GRIK4^ENSG00000149403.10
CESC	CESC-JX-A5QV-TP	RNA	chr3	HPV16	HPV16~7128~-~chr3~25440666~+	28.22	17.55	0.69	0.97	RARB^ENSG00000077092.17,AC133141.1^ENSG00000229421.1
CESC	CESC-JX-A5QV-TP	RNA	chr17	HPV16	HPV16~7128~-~chr17~1175305~+	16.82	18.35	-0.13	0.22	ABR^ENSG00000159842.13,AC016292.1^ENSG00000235361.1
CESC	CESC-JX-A5QV-TP	RNA	chr19	HPV16	chr19~44760452~+~HPV16~7249~-	53.46	24.09	1.15	1.00	BCL3^ENSG00000069399.11,MIR8085^ENSG00000277736.1,SNORA70^ENSG00000253027.1,AC092066.6^ENSG00000236807.1
CESC	CESC-JX-A5QV-TP	RNA	chr6	HPV16	chr6~160195476~+~HPV16~7172~+	6.31	5.78	0.13	0.42	SLC22A2^ENSG00000112499.11
CESC	CESC-JX-A5QV-TP	RNA	chr12	HPV16	HPV16~7131~-~chr12~104026226~+	25.22	26.60	-0.08	0.21	GLT8D2^ENSG00000120820.11,RP11-490H24.5^ENSG00000216285.5
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	HPV18~930~+~chr1~1180033~+	61.20	36.92	0.73	1.00	RP11-465B22.8^ENSG00000272141.1,TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	chr1~1183048~+~HPV18~3433~+	39.09	19.81	0.98	1.00	TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	chr1~1183050~+~HPV18~1134~+	39.09	19.81	0.98	1.00	TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	HPV18~971~+~chr1~1180536~+	39.09	19.81	0.98	1.00	TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	chr1~1179424~+~HPV18~6598~+	61.20	36.92	0.73	1.00	RP11-465B22.8^ENSG00000272141.1,TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	HPV18~2420~+~chr1~1179436~+	61.20	36.92	0.73	1.00	RP11-465B22.8^ENSG00000272141.1,TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	chr1~1182447~+~HPV18~3433~+	39.09	19.81	0.98	1.00	TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	HPV18~4035~+~chr1~1176229~+	110.82	78.55	0.50	1.00	MIR200B^ENSG00000207730.2,MIR200A^ENSG00000207607.2,MIR429^ENSG00000198976.1,RP11-465B22.8^ENSG00000272141.1,TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	HPV18~933~+~chr1~1197102~+	41.56	29.14	0.51	1.00	TTLL10^ENSG00000162571.12,TNFRSF18^ENSG00000186891.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	chr1~1179334~+~HPV18~23~+	61.20	36.92	0.73	1.00	RP11-465B22.8^ENSG00000272141.1,TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	chr1~1185110~+~HPV18~2778~+	39.09	19.81	0.98	1.00	TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	chr1~1182450~+~HPV18~1135~+	39.09	19.81	0.98	1.00	TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	chr1~1185110~+~HPV18~23~+	39.09	19.81	0.98	1.00	TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	chr1~1183048~+~HPV18~2778~+	39.09	19.81	0.98	1.00	TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	chr1~1185527~+~HPV18~5664~+	39.09	19.81	0.98	1.00	TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	chr1~1184092~+~HPV18~3431~+	39.09	19.81	0.98	1.00	TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	chr1~1184092~+~HPV18~21~+	39.09	19.81	0.98	1.00	TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	chr1~1180862~+~HPV18~3432~+	39.09	19.81	0.98	1.00	TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	chr1~1176417~+~HPV18~23~+	110.82	78.55	0.50	1.00	MIR200B^ENSG00000207730.2,MIR200A^ENSG00000207607.2,MIR429^ENSG00000198976.1,RP11-465B22.8^ENSG00000272141.1,TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	HPV18~2422~+~chr1~1191180~+	22.91	11.41	1.01	1.00	TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	HPV18~978~+~chr1~1181316~+	39.09	19.81	0.98	1.00	TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
CESC	CESC-Q1-A73P-TP	RNA	chr1	HPV18	chr1~1180197~+~HPV18~921~-	61.20	36.92	0.73	1.00	RP11-465B22.8^ENSG00000272141.1,TTLL10-AS1^ENSG00000205231.1,TTLL10^ENSG00000162571.12
HNSC	HNSC-DQ-7596-TP	RNA	chr2	HPV16	HPV16~1517~+~chr2~145579972~+	0.00	4.47	-8.81	0.35	AC092484.1^ENSG00000225107.1
CESC	CESC-EA-A50E-TP	RNA	chr14	HPV16	HPV16~881~+~chr14~68598853~+	14.54	14.30	0.02	0.69	RAD51B^ENSG00000182185.17
CESC	CESC-EA-A50E-TP	RNA	chr14	HPV16	HPV16~881~+~chr14~68597871~+	14.54	14.30	0.02	0.69	RAD51B^ENSG00000182185.17
CESC	CESC-EA-A50E-TP	RNA	chr14	HPV16	HPV16~1730~+~chr14~68597767~+	14.54	14.30	0.02	0.69	RAD51B^ENSG00000182185.17
CESC	CESC-EA-A50E-TP	RNA	chr14	HPV16	chr14~68556402~+~HPV16~7183~+	14.54	14.30	0.02	0.69	RAD51B^ENSG00000182185.17
CESC	CESC-LP-A4AW-TP	RNA	chr19	HPV16	HPV16~881~+~chr19~38873550~+	57.06	37.82	0.59	1.00	RINL^ENSG00000187994.12,CTC-360G5.6^ENSG00000269050.1,SIRT2^ENSG00000068903.18
CESC	CESC-LP-A4AW-TP	RNA	chr19	HPV16	HPV16~227~+~chr19~38873550~+	57.06	37.82	0.59	1.00	RINL^ENSG00000187994.12,CTC-360G5.6^ENSG00000269050.1,SIRT2^ENSG00000068903.18
CESC	CESC-LP-A4AW-TP	RNA	chr19	HPV16	HPV16~881~+~chr19~38869780~+	57.06	37.82	0.59	1.00	RINL^ENSG00000187994.12,CTC-360G5.6^ENSG00000269050.1,SIRT2^ENSG00000068903.18
HNSC	HNSC-CQ-5323-TP	RNA	chr18	HPV16	HPV16~881~+~chr18~63655356~+	39.92	31.13	0.36	0.96	SERPINB3^ENSG00000057149.13,SERPINB11^ENSG00000206072.11
HNSC	HNSC-CQ-5323-TP	RNA	chr18	HPV16	HPV16~881~+~chr18~63654137~+	61.03	48.88	0.32	0.98	SERPINB4^ENSG00000206073.9,SERPINB3^ENSG00000057149.13,SERPINB11^ENSG00000206072.11
HNSC	HNSC-CQ-5323-TP	RNA	chr18	HPV16	HPV16~881~+~chr18~63636199~+	43.68	37.01	0.24	0.91	SERPINB4^ENSG00000206073.9,SERPINB3^ENSG00000057149.13
HNSC	HNSC-CQ-5323-TP	RNA	chr18	HPV16	HPV16~1093~+~chr18~63649920~+	61.03	48.88	0.32	0.98	SERPINB4^ENSG00000206073.9,SERPINB3^ENSG00000057149.13,SERPINB11^ENSG00000206072.11
HNSC	HNSC-CQ-5323-TP	RNA	chr18	HPV16	HPV16~5745~+~chr18~63649920~+	61.03	48.88	0.32	0.97	SERPINB4^ENSG00000206073.9,SERPINB3^ENSG00000057149.13,SERPINB11^ENSG00000206072.11
CESC	CESC-ZJ-AAXN-TP	RNA	chr2	HPV45	chr2~165248216~+~HPV45~3380~+	18.09	10.13	0.84	1.00	SCN2A^ENSG00000136531.12
CESC	CESC-ZJ-AAXN-TP	RNA	chr2	HPV45	HPV45~3101~+~chr2~165151528~+	31.49	18.93	0.73	1.00	AC013463.2^ENSG00000236283.2,SCN3A^ENSG00000153253.14
CESC	CESC-ZJ-AAXN-TP	RNA	chr2	HPV45	chr2~165170672~+~HPV45~3381~+	31.49	18.93	0.73	1.00	AC013463.2^ENSG00000236283.2,SCN3A^ENSG00000153253.14
CESC	CESC-ZJ-AAXN-TP	RNA	chr2	HPV45	chr2~165245449~+~HPV45~3391~+	18.09	10.13	0.84	1.00	SCN2A^ENSG00000136531.12
CESC	CESC-ZJ-AAXN-TP	RNA	chr2	HPV45	HPV45~923~+~chr2~165177549~+	31.49	18.93	0.73	1.00	AC013463.2^ENSG00000236283.2,SCN3A^ENSG00000153253.14
HNSC	HNSC-CR-6487-TP	RNA	chr9	HPV16	chr9~129095613~+~HPV16~881~-	35.87	38.26	-0.09	0.47	DOLPP1^ENSG00000167130.16,CRAT^ENSG00000095321.15,RP11-247A12.1^ENSG00000234055.1
HNSC	HNSC-CR-6487-TP	RNA	chr9	HPV16	chr9~129093804~+~HPV16~2708~-	35.87	38.26	-0.09	0.47	DOLPP1^ENSG00000167130.16,CRAT^ENSG00000095321.15,RP11-247A12.1^ENSG00000234055.1
HNSC	HNSC-CR-6487-TP	RNA	chr9	HPV16	chr9~129094316~+~HPV16~2515~-	35.87	38.26	-0.09	0.46	DOLPP1^ENSG00000167130.16,CRAT^ENSG00000095321.15,RP11-247A12.1^ENSG00000234055.1
HNSC	HNSC-CR-6487-TP	RNA	chr9	HPV16	HPV16~7822~-~chr9~129094146~+	35.87	38.26	-0.09	0.47	DOLPP1^ENSG00000167130.16,CRAT^ENSG00000095321.15,RP11-247A12.1^ENSG00000234055.1
HNSC	HNSC-CR-6487-TP	RNA	chr9	HPV16	HPV16~0~-~chr9~129094143~+	35.87	38.26	-0.09	0.47	DOLPP1^ENSG00000167130.16,CRAT^ENSG00000095321.15,RP11-247A12.1^ENSG00000234055.1
HNSC	HNSC-CR-6487-TP	RNA	chr9	HPV16	chr9~129098651~+~HPV16~881~-	35.87	40.13	-0.16	0.42	DOLPP1^ENSG00000167130.16,CRAT^ENSG00000095321.15,RP11-247A12.1^ENSG00000234055.1,AL158151.2^ENSG00000221521.1
HNSC	HNSC-CN-4741-TP	RNA	chr13	HPV16	chr13~73045739~+~HPV16~881~-	22.50	23.15	-0.04	0.76	PSMD10P3^ENSG00000232041.1,KLF5^ENSG00000102554.12
HNSC	HNSC-CN-4741-TP	RNA	chr13	HPV16	HPV16~2961~-~chr13~73045601~+	22.50	23.15	-0.04	0.76	PSMD10P3^ENSG00000232041.1,KLF5^ENSG00000102554.12
HNSC	HNSC-CN-4741-TP	RNA	chr13	HPV16	HPV16~446~-~chr13~73046160~+	22.50	23.15	-0.04	0.76	PSMD10P3^ENSG00000232041.1,KLF5^ENSG00000102554.12
HNSC	HNSC-CN-4741-TP	RNA	chr11	HPV16	HPV16~3357~-~chr11~76380747~+	49.78	37.32	0.42	1.00	PRKRIR^ENSG00000137492.6,RP11-111M22.2^ENSG00000179240.7,RP11-111M22.4^ENSG00000272301.1
HNSC	HNSC-CN-4741-TP	RNA	chr13	HPV16	chr13~73045739~+~HPV16~227~-	22.50	23.15	-0.04	0.76	PSMD10P3^ENSG00000232041.1,KLF5^ENSG00000102554.12
HNSC	HNSC-CN-4741-TP	RNA	chr13	HPV16	chr13~73045759~+~HPV16~2365~-	22.50	23.15	-0.04	0.76	PSMD10P3^ENSG00000232041.1,KLF5^ENSG00000102554.12
HNSC	HNSC-CN-4741-TP	RNA	chr3	HPV16	chr3~87723791~+~HPV16~2707~+	8.78	2.64	1.73	0.75	RP11-451B8.1^ENSG00000239572.1
HNSC	HNSC-CN-4741-TP	RNA	chr15	HPV16	chr15~66336331~+~HPV16~227~-	48.35	43.00	0.17	0.99	DIS3L^ENSG00000166938.11,RP11-352G18.2^ENSG00000260773.1,TIPIN^ENSG00000075131.8
HNSC	HNSC-CN-4741-TP	RNA	chr11	HPV16	HPV16~408~-~chr11~76380747~+	49.78	37.32	0.42	1.00	PRKRIR^ENSG00000137492.6,RP11-111M22.2^ENSG00000179240.7,RP11-111M22.4^ENSG00000272301.1
HNSC	HNSC-CN-4741-TP	RNA	chr16	HPV16	chr16~48159612~+~HPV16~227~-	21.88	15.54	0.49	0.88	ABCC12^ENSG00000140798.14,RP11-3M1.1^ENSG00000261538.1,ABCC11^ENSG00000121270.14
LIHC	LIHC-CC-A7IK-TP	RNA	chr21	HBV	chr21~7675579~+~NC_003977_3182nt_Hepatitis_B_virus~461~-	6.18	1.64	1.91	0.79	CH507-338C24.1^ENSG00000277991.3
LIHC	LIHC-CC-A7IK-TP	RNA	chr21	HBV	chr21~6235148~+~NC_003977_3182nt_Hepatitis_B_virus~461~-	10.18	5.56	0.87	0.89	CH507-24F1.2^ENSG00000275496.3
LIHC	LIHC-CC-A7IK-TP	RNA	chr21	HBV	NC_003977_3182nt_Hepatitis_B_virus~461~+~chr21~7462826~+	0.00	0.88	-6.48	0.39	CH507-254M2.2^ENSG00000276077.3
LIHC	LIHC-CC-A7IK-TP	RNA	chr21	HBV	NC_003977_3182nt_Hepatitis_B_virus~461~+~chr21~7081048~+	7.51	0.68	3.44	0.93	CH507-254M2.1^ENSG00000277067.3
LIHC	LIHC-CC-A7IK-TP	RNA	chr21	HBV	NC_003977_3182nt_Hepatitis_B_virus~461~+~chr21~5585822~+	10.69	6.59	0.70	0.98	RP11-717F1.2^ENSG00000274333.3
LIHC	LIHC-CC-A7IK-TP	RNA	chr22	HBV	NC_003977_3182nt_Hepatitis_B_virus~461~+~chr22~36237596~+	17.91	19.34	-0.11	0.04	APOL2^ENSG00000128335.12
LIHC	LIHC-CC-A7IK-TP	RNA	chr21	HBV	NC_003977_3182nt_Hepatitis_B_virus~467~+~chr21~6356682~+	10.16	2.89	1.81	0.99	CH507-145C22.1^ENSG00000278903.2,Y_RNA^ENSG00000276902.1
LIHC	LIHC-CC-A7IK-TP	RNA	chr21	HBV	NC_003977_3182nt_Hepatitis_B_virus~464~+~chr21~7461804~+	0.00	0.88	-6.48	0.49	CH507-254M2.2^ENSG00000276077.3
LIHC	LIHC-CC-A7IK-TP	RNA	chr21	HBV	NC_003977_3182nt_Hepatitis_B_virus~464~+~chr21~7080026~+	7.51	0.68	3.44	0.93	CH507-254M2.1^ENSG00000277067.3
LIHC	LIHC-CC-A7IK-TP	RNA	chr21	HBV	NC_003977_3182nt_Hepatitis_B_virus~464~+~chr21~5584800~+	10.69	6.59	0.70	0.98	RP11-717F1.2^ENSG00000274333.3
LIHC	LIHC-CC-A7IK-TP	RNA	chr21	HBV	chr21~7676601~+~NC_003977_3182nt_Hepatitis_B_virus~464~-	6.18	1.64	1.91	0.79	CH507-338C24.1^ENSG00000277991.3
LIHC	LIHC-CC-A7IK-TP	RNA	chr21	HBV	chr21~6236170~+~NC_003977_3182nt_Hepatitis_B_virus~464~-	10.18	5.56	0.87	0.89	CH507-24F1.2^ENSG00000275496.3
LIHC	LIHC-CC-A7IK-TP	RNA	chr22	HBV	NC_003977_3182nt_Hepatitis_B_virus~2474~+~chr22~36237596~+	17.91	19.34	-0.11	0.04	APOL2^ENSG00000128335.12
LIHC	LIHC-CC-A7IK-TP	RNA	chr21	HBV	chr21~7673250~+~NC_003977_3182nt_Hepatitis_B_virus~467~-	6.18	1.64	1.91	0.79	Y_RNA^ENSG00000276546.1,CH507-338C24.1^ENSG00000277991.3
LIHC	LIHC-CC-A7IK-TP	RNA	chr21	HBV	chr21~6232819~+~NC_003977_3182nt_Hepatitis_B_virus~467~-	10.18	5.56	0.87	0.89	Y_RNA^ENSG00000274790.1,CH507-24F1.2^ENSG00000275496.3
LIHC	LIHC-DD-A1EH-NT	RNA	chr2	HBV	NC_003977_3182nt_Hepatitis_B_virus~1825~+~chr2~238154197~+	43.71	27.68	0.66	0.99	KLHL30^ENSG00000168427.8,KLHL30-AS1^ENSG00000279484.1,FAM132B^ENSG00000178752.14
LIHC	LIHC-DD-A1EH-NT	RNA	chr2	HBV	chr2~215384189~+~NC_003977_3182nt_Hepatitis_B_virus~461~-	23.34	22.78	0.04	0.74	FN1^ENSG00000115414.17
LIHC	LIHC-DD-A1EH-NT	RNA	chr14	HBV	chr14~51061183~+~NC_003977_3182nt_Hepatitis_B_virus~1801~-	9.16	10.59	-0.21	0.27	TRIM9^ENSG00000100505.12
LIHC	LIHC-DD-A1EH-NT	RNA	chr3	HBV	chr3~3705723~+~NC_003977_3182nt_Hepatitis_B_virus~1764~-	17.61	17.39	0.02	0.67	SUMF1^ENSG00000144455.12
LIHC	LIHC-DD-A1EH-NT	RNA	chr2	HBV	chr2~210556945~+~NC_003977_3182nt_Hepatitis_B_virus~1829~-	23.54	20.87	0.17	0.86	CPS1^ENSG00000021826.13
CESC	CESC-VS-A8EK-TP	RNA	chr9	HPV35	HPV35~884~+~chr9~117462440~+	22.91	0.34	6.05	1.00	RP11-388N2.1^ENSG00000233516.1
CESC	CESC-VS-A8EK-TP	RNA	chr9	HPV35	HPV35~1445~+~chr9~117461965~+	22.91	0.34	6.05	1.00	RP11-388N2.1^ENSG00000233516.1
CESC	CESC-VS-A8EK-TP	RNA	chr9	HPV35	chr9~117462598~+~HPV35~3318~+	22.91	0.34	6.05	1.00	RP11-388N2.1^ENSG00000233516.1
CESC	CESC-VS-A8EK-TP	RNA	chr16	HPV35	chr16~69657899~+~HPV35~1444~-	15.96	15.01	0.09	0.81	NFAT5^ENSG00000102908.19
CESC	CESC-VS-A8EK-TP	RNA	chr9	HPV35	HPV35~235~+~chr9~117462437~+	22.91	0.34	6.05	1.00	RP11-388N2.1^ENSG00000233516.1
CESC	CESC-VS-A8EK-TP	RNA	chr9	HPV35	chr9~117475708~+~HPV35~3319~+	22.91	0.34	6.05	1.00	RP11-388N2.1^ENSG00000233516.1
CESC	CESC-VS-A8EK-TP	RNA	chr9	HPV35	HPV35~233~+~chr9~117470942~+	22.91	0.34	6.05	1.00	RP11-388N2.1^ENSG00000233516.1
LIHC	LIHC-DD-AACA-TR	RNA	chr15	HBV	NC_003977_3182nt_Hepatitis_B_virus~1828~+~chr15~43613136~+	0.00	12.78	-10.32	0.09	CKMT1B^ENSG00000237289.8,STRC^ENSG00000242866.8
LIHC	LIHC-DD-AACA-TR	RNA	chr15	HBV	NC_003977_3182nt_Hepatitis_B_virus~1828~+~chr15~43712598~+	0.00	8.91	-9.80	0.04	STRCP1^ENSG00000166763.7
LIHC	LIHC-DD-AACA-TR	RNA	chr5	HBV	chr5~72419406~+~NC_003977_3182nt_Hepatitis_B_virus~1679~-	0.00	0.86	-6.44	0.32	YBX1P5^ENSG00000251108.1
LIHC	LIHC-DD-AACA-TR	RNA	chr15	HBV	chr15~43712562~+~NC_003977_3182nt_Hepatitis_B_virus~1830~-	0.00	8.91	-9.80	0.04	STRCP1^ENSG00000166763.7
LIHC	LIHC-DD-AACA-TR	RNA	chr15	HBV	chr15~43613100~+~NC_003977_3182nt_Hepatitis_B_virus~1830~-	0.00	12.78	-10.32	0.09	CKMT1B^ENSG00000237289.8,STRC^ENSG00000242866.8
LIHC	LIHC-DD-AACA-TR	RNA	chr1	HBV	chr1~161222933~+~NC_003977_3182nt_Hepatitis_B_virus~1054~+	0.00	108.95	-13.41	0.00	NDUFS2^ENSG00000158864.11,FCER1G^ENSG00000158869.9,APOA2^ENSG00000158874.10,TOMM40L^ENSG00000158882.11,MIR5187^ENSG00000263548.1,NR1I3^ENSG00000143257.10
LIHC	LIHC-DD-AACA-TR	RNA	chr3	HBV	NC_003977_3182nt_Hepatitis_B_virus~1116~-~chr3~186620996~+	0.00	40.22	-11.97	0.00	RP11-573D15.8^ENSG00000197099.7,AHSG^ENSG00000145192.11,Metazoa_SRP^ENSG00000275696.1
LIHC	LIHC-DD-AACA-TR	RNA	chr15	HBV	chr15~43612014~+~NC_003977_3182nt_Hepatitis_B_virus~1818~-	0.00	13.97	-10.45	0.07	CKMT1B^ENSG00000237289.8,STRC^ENSG00000242866.8,RNU6-554P^ENSG00000222398.1
LIHC	LIHC-DD-AACA-TR	RNA	chr15	HBV	chr15~43711476~+~NC_003977_3182nt_Hepatitis_B_virus~1818~-	0.00	14.50	-10.50	0.04	STRCP1^ENSG00000166763.7,RNU6-353P^ENSG00000201136.1
LIHC	LIHC-DD-AACA-TR	RNA	chr15	HBV	chr15~43712549~+~NC_003977_3182nt_Hepatitis_B_virus~461~-	0.00	8.91	-9.80	0.04	STRCP1^ENSG00000166763.7
LIHC	LIHC-DD-AACA-TR	RNA	chr15	HBV	chr15~43613087~+~NC_003977_3182nt_Hepatitis_B_virus~461~-	0.00	12.78	-10.32	0.09	CKMT1B^ENSG00000237289.8,STRC^ENSG00000242866.8
LIHC	LIHC-DD-AACA-TR	RNA	chr15	HBV	chr15~43711983~+~NC_003977_3182nt_Hepatitis_B_virus~1839~-	0.00	14.50	-10.50	0.04	STRCP1^ENSG00000166763.7,RNU6-353P^ENSG00000201136.1
LIHC	LIHC-DD-AACA-TR	RNA	chr15	HBV	chr15~43612521~+~NC_003977_3182nt_Hepatitis_B_virus~1839~-	0.00	13.97	-10.45	0.07	CKMT1B^ENSG00000237289.8,STRC^ENSG00000242866.8,RNU6-554P^ENSG00000222398.1
CESC	CESC-ZJ-AAXF-TP	RNA	chr13	HPV16	HPV16~881~+~chr13~73474430~+	11.66	7.85	0.57	0.74	LINC00393^ENSG00000224853.1
CESC	CESC-ZJ-AAXF-TP	RNA	chr13	HPV16	HPV16~227~+~chr13~73474430~+	11.66	7.85	0.57	0.74	LINC00393^ENSG00000224853.1
CESC	CESC-FU-A40J-TP	RNA	chr8	HPV16	chr8~127290061~+~HPV16~881~-	43.10	15.46	1.48	1.00	CASC8^ENSG00000246228.5,RP11-382A18.3^ENSG00000271509.1
CESC	CESC-FU-A40J-TP	RNA	chr8	HPV16	chr8~127290061~+~HPV16~227~-	43.10	15.46	1.48	1.00	CASC8^ENSG00000246228.5,RP11-382A18.3^ENSG00000271509.1
CESC	CESC-FU-A40J-TP	RNA	chr8	HPV16	chr8~127326379~+~HPV16~2378~-	22.67	12.56	0.85	1.00	CASC8^ENSG00000246228.5
CESC	CESC-FU-A40J-TP	RNA	chr8	HPV16	chr8~127323161~+~HPV16~875~-	22.67	12.56	0.85	1.00	CASC8^ENSG00000246228.5
