Chromosome	hotspot_coord	hotspot	hotspot_sample_counts	proj_label	viruses	insert_genes	insert_gene_count
chr1	3790174	chr1:3790174	6	CCLE,GTEx,GTEx,NATGEN2015	Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV16,NC_001806_152222nt_Human_alphaherpesvirus_1	CEP104	2
chr1	28499002	chr1:28499002	6	CCLE,GTEx,NATGEN2015	NC_001501_8332nt_Moloney_murine_leukemia_virus,Eppstein-Barr,HPV59	SNHG3;RCC1	3
chr1	96443449	chr1:96443449	6	CCLE,GTEx,GTEx,NATGEN2015	NC_001702_8135nt_Murine_type_C_retrovirus,Eppstein-Barr,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV16	EEF1A1P11	4
chr1	156722587	chr1:156722587	6	CCLE,GTEx,NATGEN2015,TCGA^CESC	HPV16,HPV31,Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_007815_8197nt_PreXMRV_1	HDGF	2
chr1	160363051	chr1:160363051	6	CCLE,GTEx,NATGEN2015,TCGA^HNSC	HPV16,Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus	COPA	1
chr10	1532046	chr10:1532046	6	CCLE,NATGEN2015,TCGA^CESC	HPV16,HPV58,NC_001702_8135nt_Murine_type_C_retrovirus	ADARB2	3
chr10	71912117	chr10:71912117	6	CCLE,NATGEN2015,TCGA^CESC	NC_001702_8135nt_Murine_type_C_retrovirus,HPV18,HPV31,HPV16,HPV58,HPV33	AC073370.1~CHST3	2
chr10	78020096	chr10:78020096	6	CCLE,GTEx,NATGEN2015,TCGA^HNSC	Eppstein-Barr,HPV16,NC_001702_8135nt_Murine_type_C_retrovirus	RPS24	3
chr11	447278	chr11:447278	6	CCLE,GTEx,GTEx,NATGEN2015,TCGA^CESC	Eppstein-Barr,HPV16,NC_001806_152222nt_Human_alphaherpesvirus_1	ANO9	4
chr11	1992184	chr11:1992184	6	CCLE,NATGEN2015,TCGA^CESC	HPV33,HPV58,HPV16,NC_001702_8135nt_Murine_type_C_retrovirus	H19	3
chr11	63955772	chr11:63955772	6	CCLE,GTEx,NATGEN2015	HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus,Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus	COX8A	3
chr11	64768314	chr11:64768314	6	CCLE,GTEx	Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus	SF1	6
chr11	71460511	chr11:71460511	6	CCLE,GTEx,TCGA^HNSC	Eppstein-Barr,HPV16,NC_007815_8197nt_PreXMRV_1	DHCR7	3
chr12	57748974	chr12:57748974	6	CCLE,GTEx,NATGEN2015	Eppstein-Barr,HPV16,HPV33	AGAP2	2
chr12	104265335	chr12:104265335	6	CCLE,GTEx	NC_001702_8135nt_Murine_type_C_retrovirus,Eppstein-Barr,NC_000858_9028nt_Simian_T_lymphotropic_virus_1,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	RPL18AP3;RP11-818F20.5;TXNRD1	5
chr12	120229694	chr12:120229694	6	CCLE,GTEx,GTEx,GTEx,NATGEN2015	NC_001702_8135nt_Murine_type_C_retrovirus,NC_001806_152222nt_Human_alphaherpesvirus_1,Eppstein-Barr,HPV33	RPLP0	3
chr13	113375426	chr13:113375426	6	CCLE,NATGEN2015,TCGA^CESC	NC_007815_8197nt_PreXMRV_1,HPV33,HPV16,HPV11	RP11-102K13.5~ADPRHL1	3
chr14	64529256	chr14:64529256	6	CCLE,GTEx,NATGEN2015,TCGA^CESC	HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus,Eppstein-Barr	ZBTB1;RP11-973N13.4	3
chr14	66021796	chr14:66021796	6	CCLE,GTEx,NATGEN2015,TCGA^CESC	HPV16,NC_001702_8135nt_Murine_type_C_retrovirus,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,Eppstein-Barr	YBX1P1	3
chr14	100269955	chr14:100269955	6	CCLE,GTEx,NATGEN2015	Eppstein-Barr,HPV16	YY1	3
chr15	20889790	chr15:20889790	6	CCLE,NATGEN2015,TCGA^CESC	HPV11,HPV16,NC_001702_8135nt_Murine_type_C_retrovirus	NF1P1	2
chr15	21463462	chr15:21463462	6	CCLE,NATGEN2015,TCGA^CESC	HPV16,NC_001702_8135nt_Murine_type_C_retrovirus,HPV11	NF1P2	2
chr15	21900762	chr15:21900762	6	CCLE,NATGEN2015,TCGA^CESC	HPV16,NC_001702_8135nt_Murine_type_C_retrovirus,HPV11	NF1P2	2
chr15	96416540	chr15:96416540	6	CCLE,NATGEN2015,TCGA^CESC	HPV33,HPV58,HPV16,HPV11,NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV18	RP11-262A16.1	1
chr16	34139662	chr16:34139662	6	CCLE,GTEx,NATGEN2015,TCGA^CESC	HPV16,HPV33,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001702_8135nt_Murine_type_C_retrovirus	LINC00273~RNA5-8SP2	3
chr16	87802795	chr16:87802795	6	CCLE,GTEx,NATGEN2015	HPV33,NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV11,Eppstein-Barr	SLC7A5	4
chr17	2367163	chr17:2367163	6	CCLE,GTEx,NATGEN2015	Eppstein-Barr,HPV16,NC_009333_137969nt_Human_gammaherpesvirus_8	METTL16	2
chr17	3688552	chr17:3688552	6	CCLE,GTEx,NATGEN2015,TCGA^LIHC	Eppstein-Barr,HPV33,HBV,NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV11	P2RX5	3
chr17	20510158	chr17:20510158	6	CCLE,NATGEN2015,TCGA^CESC	HPV31,HPV16,NC_001702_8135nt_Murine_type_C_retrovirus,NC_001501_8332nt_Moloney_murine_leukemia_virus	KRT16P3	2
chr17	28709014	chr17:28709014	6	CCLE,GTEx,GTEx,NATGEN2015	Eppstein-Barr,NC_007815_8197nt_PreXMRV_1,NC_001702_8135nt_Murine_type_C_retrovirus,HPV11,NC_001806_152222nt_Human_alphaherpesvirus_1	SUPT6H	3
chr17	42976352	chr17:42976352	6	CCLE,GTEx,NATGEN2015,TCGA^CESC	HPV16,NC_001702_8135nt_Murine_type_C_retrovirus,NC_009333_137969nt_Human_gammaherpesvirus_8,Eppstein-Barr,HPV18	RPL27	3
chr17	75110144	chr17:75110144	6	CCLE,GTEx,NATGEN2015,TCGA^CESC	NC_001702_8135nt_Murine_type_C_retrovirus,HPV16,HPV18,HPV33,Eppstein-Barr	HN1	2
chr17	81973890	chr17:81973890	6	CCLE,GTEx,NATGEN2015,TCGA^CESC	Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus,HPV33,HPV16	ASPSCR1	2
chr19	10776254	chr19:10776254	6	CCLE,GTEx	Eppstein-Barr,NC_009333_137969nt_Human_gammaherpesvirus_8	DNM2	4
chr19	11672416	chr19:11672416	6	CCLE,NATGEN2015,TCGA^CESC,TCGA^LIHC	HBV,NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_001702_8135nt_Murine_type_C_retrovirus,HPV16,NC_007815_8197nt_PreXMRV_1	HNRNPA1P10	3
chr19	34404687	chr19:34404687	6	CCLE,GTEx,NATGEN2015	Eppstein-Barr,HPV18,NC_001702_8135nt_Murine_type_C_retrovirus	GPI	5
chr19	40765028	chr19:40765028	6	CCLE,GTEx,NATGEN2015	HPV16,HPV33,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,Eppstein-Barr	SNRPA	2
chr19	41304735	chr19:41304735	6	CCLE,GTEx	Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus	HNRNPUL1;TGFB1	4
chr2	38473146	chr2:38473146	6	CCLE,GTEx,NATGEN2015,TCGA^HNSC	NC_001702_8135nt_Murine_type_C_retrovirus,HPV16,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,Eppstein-Barr	AC016995.3;RPLP0P6	3
chr2	156321619	chr2:156321619	6	CCLE,NATGEN2015,TCGA^HNSC	HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV18,HPV58	AC073551.1~NR4A2	3
chr2	231455650	chr2:231455650	6	CCLE,GTEx,NATGEN2015	Eppstein-Barr,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,NC_001702_8135nt_Murine_type_C_retrovirus,HPV33	NCL	6
chr2	241186794	chr2:241186794	6	CCLE,GTEx,NATGEN2015	Eppstein-Barr,HPV33,HPV16	HDLBP	4
chr5	139145728	chr5:139145728	6	CCLE,NATGEN2015	HPV16,HPV33,HPV58,NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	SIL1	6
chr6	32587229	chr6:32587229	6	CCLE,GTEx,NATGEN2015	Eppstein-Barr,HPV11,HPV16	HLA-DRB1	3
chr7	74786209	chr7:74786209	6	CCLE,GTEx,NATGEN2015	HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV33,Eppstein-Barr	NCF1	2
chr7	75201155	chr7:75201155	6	CCLE,NATGEN2015	HPV16,HPV18,NC_001702_8135nt_Murine_type_C_retrovirus,HPV33,NC_001501_8332nt_Moloney_murine_leukemia_virus	GTF2IP1	4
chr7	101179027	chr7:101179027	6	CCLE,NATGEN2015	NC_001702_8135nt_Murine_type_C_retrovirus,HPV16,HPV33,NC_009333_137969nt_Human_gammaherpesvirus_8,NC_001501_8332nt_Moloney_murine_leukemia_virus	AP1S1	2
chr8	100714169	chr8:100714169	6	CCLE,GTEx	NC_001702_8135nt_Murine_type_C_retrovirus,NC_007815_8197nt_PreXMRV_1,Eppstein-Barr	PABPC1	6
chr8	143839278	chr8:143839278	6	CCLE,GTEx,NATGEN2015	Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus,HPV33	SCRIB	3
chr9	5947609	chr9:5947609	6	CCLE,NATGEN2015,TCGA^CESC,TCGA^LIHC	HBV,HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus	KIAA2026	6
chr9	35931210	chr9:35931210	6	CCLE,GTEx,GTEx,NATGEN2015	Eppstein-Barr,HPV16,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001501_8332nt_Moloney_murine_leukemia_virus	LINC00961~RP11-327L3.3	3
chr9	38052564	chr9:38052564	6	CCLE,NATGEN2015,TCGA^LIHC	HPV16,HBV,NC_001702_8135nt_Murine_type_C_retrovirus	SHB	4
chr9	125240556	chr9:125240556	6	CCLE,GTEx	NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_001702_8135nt_Murine_type_C_retrovirus,Eppstein-Barr	HSPA5	6
chrX	40898080	chrX:40898080	6	CCLE,GTEx,NATGEN2015	HPV18,HPV16,Eppstein-Barr,HPV33,NC_001702_8135nt_Murine_type_C_retrovirus	MKRN4P~SDCBPP3	2
chrX	48497946	chrX:48497946	6	CCLE,GTEx,NATGEN2015,TCGA^CESC	NC_001501_8332nt_Moloney_murine_leukemia_virus,Eppstein-Barr,HPV33,HPV16	RBM3	2
chr1	16728999	chr1:16728999	6	GTEx,GTEx,NATGEN2015	HPV16,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV31,HPV33	CROCC	2
chr1	160646705	chr1:160646705	6	GTEx,NATGEN2015	Eppstein-Barr,HPV16	SLAMF1	4
chr1	161407465	chr1:161407465	6	GTEx,NATGEN2015,TCGA^CESC	HPV16,HPV33,Eppstein-Barr	RP11-122G18.9~FCGR2A	3
chr1	236520587	chr1:236520587	6	GTEx,NATGEN2015,TCGA^LIHC	HBV,HPV16,Eppstein-Barr	EDARADD;ENO1P1	2
chr10	69068415	chr10:69068415	6	GTEx,NATGEN2015	Eppstein-Barr,HPV16,HPV11	SRGN	3
chr10	126947909	chr10:126947909	6	GTEx,GTEx,NATGEN2015	HPV33,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV16	DOCK1	6
chr10	133392728	chr10:133392728	6	GTEx,NATGEN2015,TCGA^CESC	HPV33,HPV11,HPV58,Eppstein-Barr,HPV16	ECHS1	2
chr11	47683359	chr11:47683359	6	GTEx,NATGEN2015,TCGA^CESC	HPV16,Eppstein-Barr	FNBP4	2
chr11	60466469	chr11:60466469	6	GTEx,NATGEN2015	HPV33,Eppstein-Barr,HPV58,HPV16	MS4A1	3
chr11	65641827	chr11:65641827	6	GTEx,NATGEN2015	Eppstein-Barr,HPV16	MAP3K11;SIPA1	2
chr12	53449901	chr12:53449901	6	GTEx,NATGEN2015	Eppstein-Barr,HPV33	PCBP2	3
chr15	72219465	chr15:72219465	6	GTEx,NATGEN2015	Eppstein-Barr,HPV16,HPV59	PKM	4
chr16	58532145	chr16:58532145	6	GTEx,NATGEN2015	HPV16,Eppstein-Barr	CNOT1	3
chr16	70218573	chr16:70218573	6	GTEx,NATGEN2015,TCGA^LIHC	HBV,HPV16,Eppstein-Barr	AARS	3
chr16	90131605	chr16:90131605	6	GTEx,NATGEN2015,TCGA^CESC	HPV16,HPV33,NC_001806_152222nt_Human_alphaherpesvirus_1	RP11-356C4.5;FAM157C	4
chr17	60655880	chr17:60655880	6	GTEx,NATGEN2015,TCGA^CESC	HPV11,Eppstein-Barr,HPV16,HPV18,HPV58	BCAS3	3
chr17	76740035	chr17:76740035	6	GTEx,GTEx,NATGEN2015	HPV16,Eppstein-Barr,NC_001806_152222nt_Human_alphaherpesvirus_1	SRSF2	2
chr19	4654435	chr19:4654435	6	GTEx,NATGEN2015	Eppstein-Barr,HPV11,HPV16	DPP9	2
chr19	6472447	chr19:6472447	6	GTEx,GTEx,GTEx,NATGEN2015	Eppstein-Barr,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV16	CTD-2396E7.9;CTD-2396E7.10;TUBB4A	1
chr19	7952747	chr19:7952747	6	GTEx,NATGEN2015	Eppstein-Barr,HPV16	ELAVL1	3
chr19	10895656	chr19:10895656	6	GTEx,NATGEN2015,TCGA^CESC	Eppstein-Barr,HPV16,HPV18,HPV11	C19orf52	2
chr19	54457966	chr19:54457966	6	GTEx,GTEx,NATGEN2015	Eppstein-Barr,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV16	LENG8	5
chr19	56131123	chr19:56131123	6	GTEx,TCGA^CESC	HPV16,Eppstein-Barr	ZNF444	6
chr19	58365266	chr19:58365266	6	GTEx,NATGEN2015,TCGA^CESC	Eppstein-Barr,HPV33,HPV18	RPS5	3
chr2	3379276	chr2:3379276	6	GTEx,NATGEN2015	HPV33,HPV16,Eppstein-Barr	TSSC1	4
chr2	89849164	chr2:89849164	6	GTEx,NATGEN2015,TCGA^CESC,TCGA^HNSC	Eppstein-Barr,HPV33,HPV16	5S_rRNA~IGKV2D-38	5
chr2	96136659	chr2:96136659	6	GTEx,NATGEN2015	HPV16,Eppstein-Barr	DUSP2	3
chr2	216192683	chr2:216192683	6	GTEx,NATGEN2015	Eppstein-Barr,HPV16	XRCC5	4
chr20	3883694	chr20:3883694	6	GTEx,NATGEN2015	Eppstein-Barr,HPV16,HPV33	MAVS	4
chr20	38947475	chr20:38947475	6	GTEx,NATGEN2015	HPV58,HPV16,Eppstein-Barr	PPP1R16B	3
chr20	62991330	chr20:62991330	6	GTEx,NATGEN2015	Eppstein-Barr,HPV33,HPV16,HPV11	RP11-305P22.9	2
chr21	44403535	chr21:44403535	6	GTEx,NATGEN2015	HPV58,HPV11,HPV16,HPV33,Eppstein-Barr	TRPM2	3
chr22	19514181	chr22:19514181	6	GTEx,GTEx,GTEx,NATGEN2015	HPV16,Eppstein-Barr,NC_001806_152222nt_Human_alphaherpesvirus_1	CLDN5	2
chr22	41487527	chr22:41487527	6	GTEx,NATGEN2015	Eppstein-Barr,HPV16	ACO2;POLR3H	2
chr22	42603955	chr22:42603955	6	GTEx,NATGEN2015	Eppstein-Barr,HPV33,HPV16	CYB5R3	3
chr22	43130591	chr22:43130591	6	GTEx,NATGEN2015,TCGA^CESC	Eppstein-Barr,HPV16,HPV33	BIK~MCAT	1
chr22	47122698	chr22:47122698	6	GTEx,NATGEN2015,TCGA^CESC	HPV33,HPV39,HPV16,Eppstein-Barr,HPV11	TBC1D22A	6
chr3	128366876	chr3:128366876	6	GTEx,NATGEN2015,TCGA^CESC	HPV16,Eppstein-Barr	EEFSEC	5
chr3	184344370	chr3:184344370	6	GTEx,NATGEN2015,TCGA^LIHC	Eppstein-Barr,HPV16,HBV	EIF4G1;EIF2B5	2
chr4	549751	chr4:549751	6	GTEx,NATGEN2015,TCGA^CESC	HPV33,HPV16,HPV58,Eppstein-Barr	PIGG~RP11-1263C18.1	5
chr4	6595756	chr4:6595756	6	GTEx,NATGEN2015	Eppstein-Barr,HPV33,HPV16	MAN2B2	2
chr5	2146236	chr5:2146236	6	GTEx,GTEx,NATGEN2015,TCGA^CESC	HPV16,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV11	RP11-259O2.3~Y_RNA	6
chr5	151087812	chr5:151087812	6	GTEx,NATGEN2015,TCGA^LIHC	Eppstein-Barr,HBV,HPV16	ANXA6	3
chr5	163503357	chr5:163503357	6	GTEx,NATGEN2015	HPV33,HPV16,Eppstein-Barr	MAT2B~RP11-756G12.1	3
chr6	37428759	chr6:37428759	6	GTEx,NATGEN2015,TCGA^LIHC,TCGA^STAD	HBV,HPV16,HPV33,Eppstein-Barr,HPV58	CMTR1	2
chr6	109337663	chr6:109337663	6	GTEx,NATGEN2015	HPV16,Eppstein-Barr	CCDC162P	2
chr6	170141459	chr6:170141459	6	GTEx,GTEx,NATGEN2015	HPV33,HPV16,HPV11,NC_001806_152222nt_Human_alphaherpesvirus_1	RP1-182D15.2~RP11-302L19.1	3
chr8	56061444	chr8:56061444	6	GTEx,NATGEN2015	Eppstein-Barr,HPV16	RPS20	4
chr8	141406930	chr8:141406930	6	GTEx,GTEx,NATGEN2015,TCGA^CESC	HPV16,Eppstein-Barr,NC_001806_152222nt_Human_alphaherpesvirus_1	PTP4A3	3
chr9	134163101	chr9:134163101	6	GTEx,GTEx,NATGEN2015,TCGA^LIHC	NC_001806_152222nt_Human_alphaherpesvirus_1,HPV11,HBV,HPV16,Eppstein-Barr	WDR5~RNU6ATAC	2
chrX	54472817	chrX:54472817	6	GTEx,NATGEN2015,TCGA^CESC,TCGA^HNSC	HPV16,Eppstein-Barr,HPV33	FGD1	3
chr1	4329683	chr1:4329683	6	NATGEN2015,TCGA^CESC	HPV16,HPV59,HPV33,HPV18,HPV58	EEF1DP6~RP5-1166F10.1	6
chr1	120768624	chr1:120768624	6	NATGEN2015,TCGA^HNSC	HPV16,HPV33	AC253572.1	3
chr1	122853036	chr1:122853036	6	NATGEN2015,TCGA^CESC	HPV33,HPV16,HPV11,HPV18	RP11-344P13.1~CH17-333M13.2	6
chr1	124579958	chr1:124579958	6	NATGEN2015,TCGA^CESC	HPV16,HPV33,HPV11	RP11-344P13.1~CH17-333M13.2	6
chr10	41534886	chr10:41534886	6	NATGEN2015,TCGA^CESC	HPV16,HPV33,HPV11	RP11-96F8.1~KSR1P1	6
chr10	41866427	chr10:41866427	6	NATGEN2015,TCGA^CESC	HPV33,HPV11,HPV16,HPV18	RP11-96F8.1~KSR1P1	6
chr10	100797418	chr10:100797418	6	NATGEN2015,TCGA^CESC	HPV16,HPV33	PAX2	4
chr11	3656786	chr11:3656786	6	NATGEN2015,TCGA^CESC	HPV11,HPV16,HPV18,HPV58,HPV33	ART1	5
chr11	102761350	chr11:102761350	6	NATGEN2015,TCGA^CESC	HPV18,HPV16,HPV33	MMP8~AP000619.5	4
chr13	113019161	chr13:113019161	6	NATGEN2015,TCGA^CESC	HPV18,HPV16,HPV31,HPV11,HPV33	MCF2L	5
chr14	68628578	chr14:68628578	6	NATGEN2015,TCGA^CESC	HPV16,HPV52,HPV31,HPV68	RAD51B	6
chr15	101956823	chr15:101956823	6	NATGEN2015,TCGA^CESC,TCGA^LIHC	HPV16,HPV33,HBV,HPV58	AC140725.8~FAM138E	2
chr16	34006723	chr16:34006723	6	NATGEN2015	HPV16,HPV33,HPV11	RP11-598D12.2	3
chr16	85442018	chr16:85442018	6	NATGEN2015	HPV16,HPV11,HPV33	LA16c-352F7.1~RP11-118F19.1	4
chr17	106282	chr17:106282	6	NATGEN2015,TCGA^CESC	HPV16,HPV58,HPV59,HPV33	RP11-1228E12.1~U6	3
chr17	362474	chr17:362474	6	NATGEN2015,TCGA^CESC	HPV16,HPV11,HPV33,HPV58	RPH3AL	4
chr17	36162183	chr17:36162183	6	NATGEN2015,TCGA^CESC	HPV16,HPV33	TBC1D3B	3
chr18	79868692	chr18:79868692	6	NATGEN2015	HPV33,HPV16,HPV58,HPV11	KCNG2	5
chr19	25262954	chr19:25262954	6	NATGEN2015,TCGA^CESC	HPV33,HPV16,HPV18,HPV11	CTD-2027I19.2~CTB-151G24.2	6
chr19	26985400	chr19:26985400	6	NATGEN2015,TCGA^CESC	HPV16,HPV33	CTD-2027I19.2~CTB-151G24.2	6
chr3	195438102	chr3:195438102	6	NATGEN2015,TCGA^CESC,TCGA^LIHC	HPV33,HPV16,HBV	Y_RNA~RNU6ATAC24P	4
chr4	9240128	chr4:9240128	6	NATGEN2015	HPV16,HPV33,HPV11,HPV58	USP17L10~USP17L11	2
chr4	146290626	chr4:146290626	6	NATGEN2015	HPV33,HPV16,HPV58	SLC10A7	5
chr6	40525909	chr6:40525909	6	NATGEN2015,TCGA^CESC	HPV16,HPV33,HPV31	LRFN2	6
chr7	158156670	chr7:158156670	6	NATGEN2015	HPV16,HPV33,HPV11	PTPRN2	6
chr8	85669144	chr8:85669144	6	NATGEN2015	HPV16,HPV11,HPV58,HPV33	REXO1L8P~REXO1L3P	3
chr9	41058772	chr9:41058772	6	NATGEN2015	HPV16,HPV33	PGM5P2;RP11-87H9.2	4
chr9	120448708	chr9:120448708	6	NATGEN2015,TCGA^HNSC	HPV16,HPV33,HPV11	CDK5RAP2	6
chrX	497861	chrX:497861	6	NATGEN2015,TCGA^CESC	HPV33,HPV11,HPV58,HPV18,HPV16	FABP5P13~KRT18P53	4
chrX	682906	chrX:682906	6	NATGEN2015	HPV16,HPV33,HPV11,HPV58	SHOX~RP11-309M23.1	4
chrY	497861	chrY:497861	6	NATGEN2015,TCGA^CESC	HPV33,HPV11,HPV18,HPV58,HPV16	FABP5P13~KRT18P53	4
chrY	682906	chrY:682906	6	NATGEN2015	HPV11,HPV33,HPV16,HPV58	SHOX~RP11-309M23.1	4
chr11	120798305	chr11:120798305	6	TCGA^CESC	HPV16	GRIK4	6
chr14	68508542	chr14:68508542	6	TCGA^CESC,TCGA^HNSC	HPV16,HPV52,HPV18,HPV31	RAD51B	6
chr1	20638533	chr1:20638533	5	CCLE,NATGEN2015	HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus,Eppstein-Barr	DDOST	2
chr1	23663817	chr1:23663817	5	CCLE,GTEx,NATGEN2015	HPV33,Eppstein-Barr,NC_009333_137969nt_Human_gammaherpesvirus_8,HPV59	RPL11	3
chr1	42675281	chr1:42675281	5	CCLE,GTEx,NATGEN2015	HPV16,Eppstein-Barr,NC_009333_137969nt_Human_gammaherpesvirus_8	YBX1	4
chr1	44980399	chr1:44980399	5	CCLE,GTEx,NATGEN2015	HPV33,HPV16,Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus	EIF2B3	2
chr1	89916978	chr1:89916978	5	CCLE,GTEx,NATGEN2015	NC_001501_8332nt_Moloney_murine_leukemia_virus,Eppstein-Barr,HPV16,HPV33	LRRC8D	3
chr1	149110863	chr1:149110863	5	CCLE,NATGEN2015,TCGA^HNSC	HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV58	CH17-189H20.1;WI2-1896O14.1	2
chr1	153951353	chr1:153951353	5	CCLE,GTEx,NATGEN2015	HPV16,Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus	DENND4B	1
chr1	154590021	chr1:154590021	5	CCLE,GTEx,NATGEN2015	Eppstein-Barr,NC_009333_137969nt_Human_gammaherpesvirus_8,HPV33	ADAR	4
chr1	155192166	chr1:155192166	5	CCLE,NATGEN2015,TCGA^CESC	NC_001702_8135nt_Murine_type_C_retrovirus,HPV33,HPV16,HPV58	AC234582.2;MUC1	1
chr1	231446738	chr1:231446738	5	CCLE,GTEx,NATGEN2015	Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV16	EGLN1~SNRPD2P2	2
chr1	244874064	chr1:244874064	5	CCLE,GTEx,NATGEN2015	Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus,HPV16	HNRNPU	4
chr10	22533878	chr10:22533878	5	CCLE,GTEx,TCGA^CESC	Eppstein-Barr,HPV18,HPV16	PIP4K2A	4
chr10	96739799	chr10:96739799	5	CCLE,GTEx	NC_001702_8135nt_Murine_type_C_retrovirus,Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus	RPL13AP5	4
chr10	100349583	chr10:100349583	5	CCLE,GTEx,NATGEN2015	NC_001702_8135nt_Murine_type_C_retrovirus,Eppstein-Barr,NC_007815_8197nt_PreXMRV_1,NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV33	SCD	4
chr10	102111059	chr10:102111059	5	CCLE,GTEx,NATGEN2015,TCGA^CESC	Eppstein-Barr,HPV58,HPV16,HPV33,NC_001702_8135nt_Murine_type_C_retrovirus	NOLC1	2
chr11	1717773	chr11:1717773	5	CCLE,GTEx,GTEx,NATGEN2015	HPV33,Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV16	CTSD	3
chr11	2124873	chr11:2124873	5	CCLE,NATGEN2015,TCGA^CESC,TCGA^LIHC	HPV16,HBV,NC_001702_8135nt_Murine_type_C_retrovirus,HPV11	H19~AC132217.4	2
chr11	17051562	chr11:17051562	5	CCLE,GTEx,NATGEN2015,TCGA^HNSC	HPV33,HPV16,Eppstein-Barr,NC_007815_8197nt_PreXMRV_1	PIK3C2A	2
chr11	46786163	chr11:46786163	5	CCLE,GTEx,NATGEN2015	Eppstein-Barr,HPV16,HPV33,HPV58,NC_001501_8332nt_Moloney_murine_leukemia_virus	CKAP5	4
chr11	57774089	chr11:57774089	5	CCLE,GTEx,NATGEN2015	Eppstein-Barr,HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus	C11orf31	2
chr11	67613231	chr11:67613231	5	CCLE,GTEx,NATGEN2015	Eppstein-Barr,HPV16	GSTP1	2
chr11	69273054	chr11:69273054	5	CCLE,NATGEN2015,TCGA^HNSC	HBV,NC_001702_8135nt_Murine_type_C_retrovirus,HPV16	RP11-554A11.8~IFITM9P	3
chr12	49207540	chr12:49207540	5	CCLE,GTEx	NC_001702_8135nt_Murine_type_C_retrovirus,NC_006430_15246nt_Mammalian_orthorubulavirus_5,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	TUBA1A	4
chr12	56292050	chr12:56292050	5	CCLE,GTEx,NATGEN2015	HPV16,Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus	ANKRD52	1
chr12	132728809	chr12:132728809	5	CCLE,GTEx,NATGEN2015	NC_007815_8197nt_PreXMRV_1,HPV16,Eppstein-Barr	ANKLE2	2
chr13	21358046	chr13:21358046	5	CCLE,GTEx,NATGEN2015	Eppstein-Barr,HPV11,HPV18	ZDHHC20	2
chr13	73497837	chr13:73497837	5	CCLE,NATGEN2015,TCGA^CESC	HPV16,HPV18	LINC00393	5
chr13	113604573	chr13:113604573	5	CCLE,NATGEN2015,TCGA^CESC,TCGA^STAD	NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV16,HPV33,Eppstein-Barr	TFDP1	4
