hotspot	Chromosome	hotspot_coord	virus_genome	hotspot_virus_tally	insert_genes	insert_gene_count	hotspot_name
chr11:93051739	chr11	93051739	HPV33	1	MTNR1B~RPL26P31	3	chr11:93051739^MTNR1B~RPL26P31
chr11:93051739	chr11	93051739	HPV58	1	MTNR1B~RPL26P31	3	chr11:93051739^MTNR1B~RPL26P31
chr11:93216525	chr11	93216525	HPV16	2	RP11-573M3.6~RP11-573M3.3	1	chr11:93216525^RP11-573M3.6~RP11-573M3.3
chr11:93216525	chr11	93216525	HPV33	1	RP11-573M3.6~RP11-573M3.3	1	chr11:93216525^RP11-573M3.6~RP11-573M3.3
chr11:93481510	chr11	93481510	Eppstein-Barr	2	SMCO4	3	chr11:93481510^SMCO4
chr11:93481510	chr11	93481510	HPV16	2	SMCO4	3	chr11:93481510^SMCO4
chr11:93481510	chr11	93481510	HPV58	1	SMCO4	3	chr11:93481510^SMCO4
chr11:9574738	chr11	9574738	HPV16	3	AC127030.1~snoU13	2	chr11:9574738^AC127030.1~snoU13
chr11:9574738	chr11	9574738	HPV58	1	AC127030.1~snoU13	2	chr11:9574738^AC127030.1~snoU13
chr11:972122	chr11	972122	Eppstein-Barr	1	AP2A2	5	chr11:972122^AP2A2
chr11:972122	chr11	972122	HPV11	1	AP2A2	5	chr11:972122^AP2A2
chr11:972122	chr11	972122	HPV16	2	AP2A2	5	chr11:972122^AP2A2
chr11:972122	chr11	972122	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	1	AP2A2	5	chr11:972122^AP2A2
chr11:972122	chr11	972122	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	AP2A2	5	chr11:972122^AP2A2
chr11:972122	chr11	972122	NC_001806_152222nt_Human_alphaherpesvirus_1	1	AP2A2	5	chr11:972122^AP2A2
chr12:101163706	chr12	101163706	HPV16	3	ANO4	1	chr12:101163706^ANO4
chr12:101791780	chr12	101791780	HPV16	3	GNPTAB	2	chr12:101791780^GNPTAB
chr12:102137059	chr12	102137059	HBV	1	PARPBP	2	chr12:102137059^PARPBP
chr12:102137059	chr12	102137059	HPV16	2	PARPBP	2	chr12:102137059^PARPBP
chr12:102378068	chr12	102378068	HPV16	6	HELLPAR;IGF1	5	chr12:102378068^HELLPAR;IGF1
chr12:102378068	chr12	102378068	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	HELLPAR;IGF1	5	chr12:102378068^HELLPAR;IGF1
chr12:103963630	chr12	103963630	Eppstein-Barr	2	HSP90B1	3	chr12:103963630^HSP90B1
chr12:103963630	chr12	103963630	HPV16	1	HSP90B1	3	chr12:103963630^HSP90B1
chr12:103963630	chr12	103963630	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	HSP90B1	3	chr12:103963630^HSP90B1
chr12:104265335	chr12	104265335	Eppstein-Barr	3	RPL18AP3;RP11-818F20.5;TXNRD1	5	chr12:104265335^RPL18AP3;RP11-818F20.5;TXNRD1
chr12:104265335	chr12	104265335	NC_000858_9028nt_Simian_T_lymphotropic_virus_1	1	RPL18AP3;RP11-818F20.5;TXNRD1	5	chr12:104265335^RPL18AP3;RP11-818F20.5;TXNRD1
chr12:104265335	chr12	104265335	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	1	RPL18AP3;RP11-818F20.5;TXNRD1	5	chr12:104265335^RPL18AP3;RP11-818F20.5;TXNRD1
chr12:104265335	chr12	104265335	NC_001702_8135nt_Murine_type_C_retrovirus	1	RPL18AP3;RP11-818F20.5;TXNRD1	5	chr12:104265335^RPL18AP3;RP11-818F20.5;TXNRD1
chr12:107648352	chr12	107648352	Eppstein-Barr	2	BTBD11;RP11-128P10.1	1	chr12:107648352^BTBD11;RP11-128P10.1
chr12:107648352	chr12	107648352	HPV16	1	BTBD11;RP11-128P10.1	1	chr12:107648352^BTBD11;RP11-128P10.1
chr12:108643148	chr12	108643148	Eppstein-Barr	2	CORO1C	2	chr12:108643148^CORO1C
chr12:108643148	chr12	108643148	HPV16	1	CORO1C	2	chr12:108643148^CORO1C
chr12:110511384	chr12	110511384	Eppstein-Barr	2	PPTC7	1	chr12:110511384^PPTC7
chr12:110511384	chr12	110511384	HPV16	1	PPTC7	1	chr12:110511384^PPTC7
chr12:112439596	chr12	112439596	Eppstein-Barr	1	PTPN11	2	chr12:112439596^PTPN11
chr12:112439596	chr12	112439596	HPV16	3	PTPN11	2	chr12:112439596^PTPN11
chr12:112439596	chr12	112439596	HPV33	1	PTPN11	2	chr12:112439596^PTPN11
chr12:112925524	chr12	112925524	Eppstein-Barr	1	OAS1;RP1-71H24.1	2	chr12:112925524^OAS1;RP1-71H24.1
chr12:112925524	chr12	112925524	HPV16	1	OAS1;RP1-71H24.1	2	chr12:112925524^OAS1;RP1-71H24.1
chr12:112925524	chr12	112925524	HPV58	1	OAS1;RP1-71H24.1	2	chr12:112925524^OAS1;RP1-71H24.1
chr12:112925524	chr12	112925524	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	OAS1;RP1-71H24.1	2	chr12:112925524^OAS1;RP1-71H24.1
chr12:113238794	chr12	113238794	HPV16	1	TPCN1	2	chr12:113238794^TPCN1
chr12:113238794	chr12	113238794	HPV18	1	TPCN1	2	chr12:113238794^TPCN1
chr12:113238794	chr12	113238794	HPV33	1	TPCN1	2	chr12:113238794^TPCN1
chr12:113238794	chr12	113238794	NC_001702_8135nt_Murine_type_C_retrovirus	1	TPCN1	2	chr12:113238794^TPCN1
chr12:113843699	chr12	113843699	HPV16	2	RBM19	4	chr12:113843699^RBM19
chr12:113843699	chr12	113843699	HPV33	1	RBM19	4	chr12:113843699^RBM19
chr12:113843699	chr12	113843699	NC_001716_153080nt_Human_betaherpesvirus_7	1	RBM19	4	chr12:113843699^RBM19
chr12:114223837	chr12	114223837	HPV16	2	GLULP5~RP11-139B1.1	3	chr12:114223837^GLULP5~RP11-139B1.1
chr12:114223837	chr12	114223837	HPV18	1	GLULP5~RP11-139B1.1	3	chr12:114223837^GLULP5~RP11-139B1.1
chr12:114223837	chr12	114223837	HPV33	1	GLULP5~RP11-139B1.1	3	chr12:114223837^GLULP5~RP11-139B1.1
chr12:114223837	chr12	114223837	HPV58	1	GLULP5~RP11-139B1.1	3	chr12:114223837^GLULP5~RP11-139B1.1
chr12:115544455	chr12	115544455	HPV16	2	RP11-1028N23.4	1	chr12:115544455^RP11-1028N23.4
chr12:115544455	chr12	115544455	HPV33	1	RP11-1028N23.4	1	chr12:115544455^RP11-1028N23.4
chr12:118236101	chr12	118236101	HPV16	5	TAOK3	6	chr12:118236101^TAOK3
chr12:118236101	chr12	118236101	HPV33	1	TAOK3	6	chr12:118236101^TAOK3
chr12:118236101	chr12	118236101	NC_001702_8135nt_Murine_type_C_retrovirus	2	TAOK3	6	chr12:118236101^TAOK3
chr12:120229694	chr12	120229694	Eppstein-Barr	2	RPLP0	3	chr12:120229694^RPLP0
chr12:120229694	chr12	120229694	HPV33	1	RPLP0	3	chr12:120229694^RPLP0
chr12:120229694	chr12	120229694	NC_001702_8135nt_Murine_type_C_retrovirus	1	RPLP0	3	chr12:120229694^RPLP0
chr12:120229694	chr12	120229694	NC_001806_152222nt_Human_alphaherpesvirus_1	2	RPLP0	3	chr12:120229694^RPLP0
chr12:120811367	chr12	120811367	HPV11	1	SPPL3	2	chr12:120811367^SPPL3
chr12:120811367	chr12	120811367	HPV16	1	SPPL3	2	chr12:120811367^SPPL3
chr12:120811367	chr12	120811367	HPV18	1	SPPL3	2	chr12:120811367^SPPL3
chr12:120811367	chr12	120811367	HPV33	1	SPPL3	2	chr12:120811367^SPPL3
chr12:121303809	chr12	121303809	Eppstein-Barr	2	ANAPC5	2	chr12:121303809^ANAPC5
chr12:121303809	chr12	121303809	HPV16	1	ANAPC5	2	chr12:121303809^ANAPC5
chr12:121464804	chr12	121464804	Eppstein-Barr	3	KDM2B	3	chr12:121464804^KDM2B
chr12:121754090	chr12	121754090	Eppstein-Barr	1	TMEM120B	3	chr12:121754090^TMEM120B
chr12:121754090	chr12	121754090	HPV16	1	TMEM120B	3	chr12:121754090^TMEM120B
chr12:121754090	chr12	121754090	HPV33	1	TMEM120B	3	chr12:121754090^TMEM120B
chr12:122366558	chr12	122366558	HBV	2	CLIP1	4	chr12:122366558^CLIP1
chr12:122366558	chr12	122366558	HPV16	1	CLIP1	4	chr12:122366558^CLIP1
chr12:122366558	chr12	122366558	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	CLIP1	4	chr12:122366558^CLIP1
chr12:123012816	chr12	123012816	Eppstein-Barr	2	ABCB9;ARL6IP4	1	chr12:123012816^ABCB9;ARL6IP4
chr12:123012816	chr12	123012816	HPV16	1	ABCB9;ARL6IP4	1	chr12:123012816^ABCB9;ARL6IP4
chr12:123369135	chr12	123369135	HPV16	3	SBNO1	2	chr12:123369135^SBNO1
chr12:123369135	chr12	123369135	HPV33	1	SBNO1	2	chr12:123369135^SBNO1
chr12:124060434	chr12	124060434	Eppstein-Barr	1	FAM101A	2	chr12:124060434^FAM101A
chr12:124060434	chr12	124060434	HPV18	1	FAM101A	2	chr12:124060434^FAM101A
chr12:124060434	chr12	124060434	HPV33	1	FAM101A	2	chr12:124060434^FAM101A
chr12:12433238	chr12	12433238	Eppstein-Barr	1	LOH12CR1	2	chr12:12433238^LOH12CR1
chr12:12433238	chr12	12433238	HBV	1	LOH12CR1	2	chr12:12433238^LOH12CR1
chr12:12433238	chr12	12433238	NC_001806_152222nt_Human_alphaherpesvirus_1	1	LOH12CR1	2	chr12:12433238^LOH12CR1
chr12:124422127	chr12	124422127	Eppstein-Barr	2	NCOR2	7	chr12:124422127^NCOR2
chr12:124422127	chr12	124422127	HBV	1	NCOR2	7	chr12:124422127^NCOR2
chr12:124422127	chr12	124422127	HPV16	2	NCOR2	7	chr12:124422127^NCOR2
chr12:124422127	chr12	124422127	HPV39	1	NCOR2	7	chr12:124422127^NCOR2
chr12:124422127	chr12	124422127	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	1	NCOR2	7	chr12:124422127^NCOR2
chr12:124723976	chr12	124723976	Eppstein-Barr	1	RP11-13J12.2~SCARB1	2	chr12:124723976^RP11-13J12.2~SCARB1
chr12:124723976	chr12	124723976	HPV16	1	RP11-13J12.2~SCARB1	2	chr12:124723976^RP11-13J12.2~SCARB1
chr12:124723976	chr12	124723976	HPV18	1	RP11-13J12.2~SCARB1	2	chr12:124723976^RP11-13J12.2~SCARB1
chr12:124723976	chr12	124723976	HPV33	1	RP11-13J12.2~SCARB1	2	chr12:124723976^RP11-13J12.2~SCARB1
chr12:124913417	chr12	124913417	Eppstein-Barr	16	UBC	35	chr12:124913417^UBC
chr12:124913417	chr12	124913417	HPV16	2	UBC	35	chr12:124913417^UBC
chr12:124913417	chr12	124913417	HPV73	1	UBC	35	chr12:124913417^UBC
chr12:124913417	chr12	124913417	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	2	UBC	35	chr12:124913417^UBC
chr12:124913417	chr12	124913417	NC_001501_8332nt_Moloney_murine_leukemia_virus	2	UBC	35	chr12:124913417^UBC
chr12:124913417	chr12	124913417	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	1	UBC	35	chr12:124913417^UBC
chr12:124913417	chr12	124913417	NC_001702_8135nt_Murine_type_C_retrovirus	5	UBC	35	chr12:124913417^UBC
chr12:124913417	chr12	124913417	NC_001806_152222nt_Human_alphaherpesvirus_1	4	UBC	35	chr12:124913417^UBC
chr12:124913417	chr12	124913417	NC_006430_15246nt_Mammalian_orthorubulavirus_5	2	UBC	35	chr12:124913417^UBC
chr12:124913417	chr12	124913417	NC_007815_8197nt_PreXMRV_1	4	UBC	35	chr12:124913417^UBC
chr12:126196062	chr12	126196062	HPV16	3	RP1-116K23.1~RP4-765H13.1	1	chr12:126196062^RP1-116K23.1~RP4-765H13.1
chr12:12760760	chr12	12760760	Eppstein-Barr	1	APOLD1	2	chr12:12760760^APOLD1
chr12:12760760	chr12	12760760	HPV16	2	APOLD1	2	chr12:12760760^APOLD1
chr12:128043554	chr12	128043554	HBV	1	LINC00508~RP11-349K16.1	1	chr12:128043554^LINC00508~RP11-349K16.1
chr12:128043554	chr12	128043554	HPV16	1	LINC00508~RP11-349K16.1	1	chr12:128043554^LINC00508~RP11-349K16.1
chr12:128043554	chr12	128043554	HPV33	1	LINC00508~RP11-349K16.1	1	chr12:128043554^LINC00508~RP11-349K16.1
chr12:128682859	chr12	128682859	HPV16	2	AC107020.1~SLC15A4	2	chr12:128682859^AC107020.1~SLC15A4
chr12:128682859	chr12	128682859	HPV58	1	AC107020.1~SLC15A4	2	chr12:128682859^AC107020.1~SLC15A4
chr12:128811036	chr12	128811036	Eppstein-Barr	35	SLC15A4;RP11-21K12.2	34	chr12:128811036^SLC15A4;RP11-21K12.2
chr12:128811036	chr12	128811036	HPV16	2	SLC15A4;RP11-21K12.2	34	chr12:128811036^SLC15A4;RP11-21K12.2
chr12:12902165	chr12	12902165	NC_001702_8135nt_Murine_type_C_retrovirus	3	GPRC5A	2	chr12:12902165^GPRC5A
chr12:130375578	chr12	130375578	HPV11	1	PIWIL1	1	chr12:130375578^PIWIL1
chr12:130375578	chr12	130375578	HPV33	1	PIWIL1	1	chr12:130375578^PIWIL1
chr12:130375578	chr12	130375578	HPV58	1	PIWIL1	1	chr12:130375578^PIWIL1
chr12:130924781	chr12	130924781	Eppstein-Barr	1	GPR133	1	chr12:130924781^GPR133
chr12:130924781	chr12	130924781	HPV16	1	GPR133	1	chr12:130924781^GPR133
chr12:130924781	chr12	130924781	HPV33	1	GPR133	1	chr12:130924781^GPR133
chr12:131430518	chr12	131430518	HPV11	1	RP13-507P19.1~RP11-897M7.3	4	chr12:131430518^RP13-507P19.1~RP11-897M7.3
chr12:131430518	chr12	131430518	HPV16	1	RP13-507P19.1~RP11-897M7.3	4	chr12:131430518^RP13-507P19.1~RP11-897M7.3
chr12:131430518	chr12	131430518	HPV33	2	RP13-507P19.1~RP11-897M7.3	4	chr12:131430518^RP13-507P19.1~RP11-897M7.3
chr12:131430518	chr12	131430518	NC_001806_152222nt_Human_alphaherpesvirus_1	1	RP13-507P19.1~RP11-897M7.3	4	chr12:131430518^RP13-507P19.1~RP11-897M7.3
chr12:131601777	chr12	131601777	Eppstein-Barr	1	AC073578.1~RP11-292I17.1	4	chr12:131601777^AC073578.1~RP11-292I17.1
chr12:131601777	chr12	131601777	HPV11	1	AC073578.1~RP11-292I17.1	4	chr12:131601777^AC073578.1~RP11-292I17.1
chr12:131601777	chr12	131601777	HPV16	3	AC073578.1~RP11-292I17.1	4	chr12:131601777^AC073578.1~RP11-292I17.1
chr12:131601777	chr12	131601777	HPV18	1	AC073578.1~RP11-292I17.1	4	chr12:131601777^AC073578.1~RP11-292I17.1
chr12:131601777	chr12	131601777	HPV33	2	AC073578.1~RP11-292I17.1	4	chr12:131601777^AC073578.1~RP11-292I17.1
chr12:131601777	chr12	131601777	NC_001806_152222nt_Human_alphaherpesvirus_1	2	AC073578.1~RP11-292I17.1	4	chr12:131601777^AC073578.1~RP11-292I17.1
chr12:131931351	chr12	131931351	Eppstein-Barr	1	PUS1	1	chr12:131931351^PUS1
chr12:131931351	chr12	131931351	HPV16	1	PUS1	1	chr12:131931351^PUS1
chr12:131931351	chr12	131931351	HPV33	1	PUS1	1	chr12:131931351^PUS1
chr12:132251339	chr12	132251339	HPV11	1	GALNT9	5	chr12:132251339^GALNT9
chr12:132251339	chr12	132251339	HPV16	3	GALNT9	5	chr12:132251339^GALNT9
chr12:132251339	chr12	132251339	HPV33	1	GALNT9	5	chr12:132251339^GALNT9
chr12:132392527	chr12	132392527	HPV16	2	RP13-895J2.11~RP13-714J12.1	3	chr12:132392527^RP13-895J2.11~RP13-714J12.1
chr12:132392527	chr12	132392527	HPV33	1	RP13-895J2.11~RP13-714J12.1	3	chr12:132392527^RP13-895J2.11~RP13-714J12.1
chr12:132616377	chr12	132616377	Eppstein-Barr	2	POLE	3	chr12:132616377^POLE
chr12:132616377	chr12	132616377	HPV16	1	POLE	3	chr12:132616377^POLE
chr12:132616377	chr12	132616377	HPV33	1	POLE	3	chr12:132616377^POLE
chr12:132616377	chr12	132616377	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	POLE	3	chr12:132616377^POLE
chr12:132616377	chr12	132616377	NC_001806_152222nt_Human_alphaherpesvirus_1	2	POLE	3	chr12:132616377^POLE
chr12:132728809	chr12	132728809	Eppstein-Barr	2	ANKLE2	2	chr12:132728809^ANKLE2
chr12:132728809	chr12	132728809	HPV16	2	ANKLE2	2	chr12:132728809^ANKLE2
chr12:132728809	chr12	132728809	NC_007815_8197nt_PreXMRV_1	1	ANKLE2	2	chr12:132728809^ANKLE2
chr12:132849306	chr12	132849306	Eppstein-Barr	3	CHFR	3	chr12:132849306^CHFR
chr12:132849306	chr12	132849306	HPV16	1	CHFR	3	chr12:132849306^CHFR
chr12:14548237	chr12	14548237	HPV16	2	GUCY2C	1	chr12:14548237^GUCY2C
chr12:14548237	chr12	14548237	HPV33	1	GUCY2C	1	chr12:14548237^GUCY2C
chr12:14770656	chr12	14770656	Eppstein-Barr	2	WBP11	2	chr12:14770656^WBP11
chr12:14770656	chr12	14770656	HPV16	1	WBP11	2	chr12:14770656^WBP11
chr12:15833866	chr12	15833866	HPV16	1	EPS8	3	chr12:15833866^EPS8
chr12:15833866	chr12	15833866	HPV18	1	EPS8	3	chr12:15833866^EPS8
chr12:15833866	chr12	15833866	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	EPS8	3	chr12:15833866^EPS8
chr12:15833866	chr12	15833866	NC_001702_8135nt_Murine_type_C_retrovirus	1	EPS8	3	chr12:15833866^EPS8
chr12:1718784	chr12	1718784	HPV16	2	ADIPOR2	2	chr12:1718784^ADIPOR2
chr12:1718784	chr12	1718784	HPV33	1	ADIPOR2	2	chr12:1718784^ADIPOR2
chr12:19421031	chr12	19421031	HPV58	1	AEBP2	1	chr12:19421031^AEBP2
chr12:19421031	chr12	19421031	NC_001702_8135nt_Murine_type_C_retrovirus	1	AEBP2	1	chr12:19421031^AEBP2
chr12:19421031	chr12	19421031	NC_001806_152222nt_Human_alphaherpesvirus_1	1	AEBP2	1	chr12:19421031^AEBP2
chr12:20551578	chr12	20551578	Eppstein-Barr	1	PDE3A	10	chr12:20551578^PDE3A
chr12:20551578	chr12	20551578	NC_001501_8332nt_Moloney_murine_leukemia_virus	2	PDE3A	10	chr12:20551578^PDE3A
chr12:20551578	chr12	20551578	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	1	PDE3A	10	chr12:20551578^PDE3A
chr12:20551578	chr12	20551578	NC_001702_8135nt_Murine_type_C_retrovirus	3	PDE3A	10	chr12:20551578^PDE3A
chr12:20551578	chr12	20551578	NC_001806_152222nt_Human_alphaherpesvirus_1	4	PDE3A	10	chr12:20551578^PDE3A
chr12:20551578	chr12	20551578	NC_007815_8197nt_PreXMRV_1	1	PDE3A	10	chr12:20551578^PDE3A
chr12:22285100	chr12	22285100	HBV	1	ST8SIA1	3	chr12:22285100^ST8SIA1
chr12:22285100	chr12	22285100	HPV16	1	ST8SIA1	3	chr12:22285100^ST8SIA1
chr12:22285100	chr12	22285100	HPV18	1	ST8SIA1	3	chr12:22285100^ST8SIA1
chr12:2375153	chr12	2375153	HPV16	3	CACNA1C	3	chr12:2375153^CACNA1C
chr12:26800640	chr12	26800640	Eppstein-Barr	1	ITPR2	3	chr12:26800640^ITPR2
chr12:26800640	chr12	26800640	HBV	1	ITPR2	3	chr12:26800640^ITPR2
chr12:26800640	chr12	26800640	HPV16	1	ITPR2	3	chr12:26800640^ITPR2
chr12:29205103	chr12	29205103	HPV16	3	FAR2	4	chr12:29205103^FAR2
chr12:29205103	chr12	29205103	HPV33	1	FAR2	4	chr12:29205103^FAR2
chr12:298396	chr12	298396	HPV16	3	KDM5A	2	chr12:298396^KDM5A
chr12:30786684	chr12	30786684	Eppstein-Barr	1	CAPRIN2	1	chr12:30786684^CAPRIN2
chr12:30786684	chr12	30786684	HPV16	3	CAPRIN2	1	chr12:30786684^CAPRIN2
chr12:31265310	chr12	31265310	Eppstein-Barr	1	FAM60A	1	chr12:31265310^FAM60A
chr12:31265310	chr12	31265310	HPV33	1	FAM60A	1	chr12:31265310^FAM60A
chr12:31265310	chr12	31265310	NC_001702_8135nt_Murine_type_C_retrovirus	1	FAM60A	1	chr12:31265310^FAM60A
chr12:31692364	chr12	31692364	HPV16	1	AMN1	2	chr12:31692364^AMN1
chr12:31692364	chr12	31692364	HPV33	1	AMN1	2	chr12:31692364^AMN1
chr12:31692364	chr12	31692364	HPV59	1	AMN1	2	chr12:31692364^AMN1
chr12:31830476	chr12	31830476	HPV16	1	H3F3C	1	chr12:31830476^H3F3C
chr12:31830476	chr12	31830476	HPV58	1	H3F3C	1	chr12:31830476^H3F3C
chr12:31830476	chr12	31830476	NC_001806_152222nt_Human_alphaherpesvirus_1	1	H3F3C	1	chr12:31830476^H3F3C
chr12:32255577	chr12	32255577	HPV11	1	BICD1	3	chr12:32255577^BICD1
chr12:32255577	chr12	32255577	HPV16	1	BICD1	3	chr12:32255577^BICD1
chr12:32255577	chr12	32255577	HPV33	1	BICD1	3	chr12:32255577^BICD1
chr12:3226408	chr12	3226408	HPV11	1	TSPAN9	2	chr12:3226408^TSPAN9
chr12:3226408	chr12	3226408	HPV16	2	TSPAN9	2	chr12:3226408^TSPAN9
chr12:3226408	chr12	3226408	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	TSPAN9	2	chr12:3226408^TSPAN9
chr12:34804881	chr12	34804881	HPV16	5	RP13-7D7.1~RP11-125N22.4	5	chr12:34804881^RP13-7D7.1~RP11-125N22.4
chr12:34915889	chr12	34915889	HPV16	4	RP13-7D7.1~RP11-125N22.4	4	chr12:34915889^RP13-7D7.1~RP11-125N22.4
chr12:35056893	chr12	35056893	HPV16	2	RP13-7D7.1~RP11-125N22.4	3	chr12:35056893^RP13-7D7.1~RP11-125N22.4
chr12:35056893	chr12	35056893	HPV33	1	RP13-7D7.1~RP11-125N22.4	3	chr12:35056893^RP13-7D7.1~RP11-125N22.4
chr12:35292196	chr12	35292196	HPV16	2	RP13-7D7.1~RP11-125N22.4	3	chr12:35292196^RP13-7D7.1~RP11-125N22.4
chr12:35292196	chr12	35292196	HPV33	1	RP13-7D7.1~RP11-125N22.4	3	chr12:35292196^RP13-7D7.1~RP11-125N22.4
chr12:35440587	chr12	35440587	HPV16	2	RP13-7D7.1~RP11-125N22.4	3	chr12:35440587^RP13-7D7.1~RP11-125N22.4
chr12:35440587	chr12	35440587	HPV33	1	RP13-7D7.1~RP11-125N22.4	3	chr12:35440587^RP13-7D7.1~RP11-125N22.4
chr12:35619186	chr12	35619186	HPV16	3	RP13-7D7.1~RP11-125N22.4	4	chr12:35619186^RP13-7D7.1~RP11-125N22.4
chr12:35619186	chr12	35619186	HPV33	1	RP13-7D7.1~RP11-125N22.4	4	chr12:35619186^RP13-7D7.1~RP11-125N22.4
chr12:35770523	chr12	35770523	HPV16	2	RP13-7D7.1~RP11-125N22.4	3	chr12:35770523^RP13-7D7.1~RP11-125N22.4
chr12:35770523	chr12	35770523	HPV33	1	RP13-7D7.1~RP11-125N22.4	3	chr12:35770523^RP13-7D7.1~RP11-125N22.4
chr12:35978976	chr12	35978976	HPV16	6	RP13-7D7.1~RP11-125N22.4	7	chr12:35978976^RP13-7D7.1~RP11-125N22.4
chr12:35978976	chr12	35978976	HPV33	1	RP13-7D7.1~RP11-125N22.4	7	chr12:35978976^RP13-7D7.1~RP11-125N22.4
chr12:36156947	chr12	36156947	HPV16	1	RP13-7D7.1~RP11-125N22.4	3	chr12:36156947^RP13-7D7.1~RP11-125N22.4
chr12:36156947	chr12	36156947	HPV18	1	RP13-7D7.1~RP11-125N22.4	3	chr12:36156947^RP13-7D7.1~RP11-125N22.4
chr12:36156947	chr12	36156947	HPV33	1	RP13-7D7.1~RP11-125N22.4	3	chr12:36156947^RP13-7D7.1~RP11-125N22.4
chr12:36282259	chr12	36282259	HPV16	2	RP13-7D7.1~RP11-125N22.4	3	chr12:36282259^RP13-7D7.1~RP11-125N22.4
chr12:36282259	chr12	36282259	HPV33	1	RP13-7D7.1~RP11-125N22.4	3	chr12:36282259^RP13-7D7.1~RP11-125N22.4
chr12:36753435	chr12	36753435	HPV16	4	RP13-7D7.1~RP11-125N22.4	5	chr12:36753435^RP13-7D7.1~RP11-125N22.4
chr12:36753435	chr12	36753435	HPV33	1	RP13-7D7.1~RP11-125N22.4	5	chr12:36753435^RP13-7D7.1~RP11-125N22.4
chr12:36932311	chr12	36932311	HPV16	4	RP13-7D7.1~RP11-125N22.4	4	chr12:36932311^RP13-7D7.1~RP11-125N22.4
chr12:37079346	chr12	37079346	HPV16	2	RP13-7D7.1~RP11-125N22.4	3	chr12:37079346^RP13-7D7.1~RP11-125N22.4
chr12:37079346	chr12	37079346	HPV33	1	RP13-7D7.1~RP11-125N22.4	3	chr12:37079346^RP13-7D7.1~RP11-125N22.4
chr12:37736154	chr12	37736154	HPV16	2	RP11-125N22.2~RP11-297L6.2	3	chr12:37736154^RP11-125N22.2~RP11-297L6.2
chr12:37736154	chr12	37736154	HPV33	1	RP11-125N22.2~RP11-297L6.2	3	chr12:37736154^RP11-125N22.2~RP11-297L6.2
chr12:42445976	chr12	42445976	Eppstein-Barr	2	PPHLN1	3	chr12:42445976^PPHLN1
chr12:42445976	chr12	42445976	HPV58	1	PPHLN1	3	chr12:42445976^PPHLN1
chr12:44861394	chr12	44861394	HPV16	2	NELL2	2	chr12:44861394^NELL2
chr12:44861394	chr12	44861394	HPV33	1	NELL2	2	chr12:44861394^NELL2
chr12:46596323	chr12	46596323	HPV16	1	RP11-446N19.1;RP11-96H19.1	3	chr12:46596323^RP11-446N19.1;RP11-96H19.1
chr12:46596323	chr12	46596323	HPV33	1	RP11-446N19.1;RP11-96H19.1	3	chr12:46596323^RP11-446N19.1;RP11-96H19.1
chr12:46596323	chr12	46596323	HPV58	1	RP11-446N19.1;RP11-96H19.1	3	chr12:46596323^RP11-446N19.1;RP11-96H19.1
chr12:48997667	chr12	48997667	Eppstein-Barr	3	KMT2D	4	chr12:48997667^KMT2D
chr12:48997667	chr12	48997667	HPV16	1	KMT2D	4	chr12:48997667^KMT2D
chr12:48997667	chr12	48997667	HPV33	1	KMT2D	4	chr12:48997667^KMT2D
chr12:48997667	chr12	48997667	HPV58	1	KMT2D	4	chr12:48997667^KMT2D
chr12:48997667	chr12	48997667	NC_009333_137969nt_Human_gammaherpesvirus_8	1	KMT2D	4	chr12:48997667^KMT2D
chr12:49107259	chr12	49107259	Eppstein-Barr	3	TUBA1B;RP11-386G11.10	7	chr12:49107259^TUBA1B;RP11-386G11.10
chr12:49107259	chr12	49107259	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	TUBA1B;RP11-386G11.10	7	chr12:49107259^TUBA1B;RP11-386G11.10
chr12:49107259	chr12	49107259	NC_001702_8135nt_Murine_type_C_retrovirus	2	TUBA1B;RP11-386G11.10	7	chr12:49107259^TUBA1B;RP11-386G11.10
chr12:49107259	chr12	49107259	NC_006430_15246nt_Mammalian_orthorubulavirus_5	1	TUBA1B;RP11-386G11.10	7	chr12:49107259^TUBA1B;RP11-386G11.10
chr12:49207540	chr12	49207540	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	1	TUBA1A	4	chr12:49207540^TUBA1A
chr12:49207540	chr12	49207540	NC_001702_8135nt_Murine_type_C_retrovirus	2	TUBA1A	4	chr12:49207540^TUBA1A
chr12:49207540	chr12	49207540	NC_001806_152222nt_Human_alphaherpesvirus_1	1	TUBA1A	4	chr12:49207540^TUBA1A
