sample_name	chrA	coordA	orientA	chrB	coordB	orientB	Support_reads_pair_softclip	Confidence	total
rep2.HPV16	chr14	85064348	+	HPV16	440	-	190+47	high	237
rep2.HPV16	chr6	47081308	+	HPV16	1749	+	205+47	high	252
rep2.HPV16	chr6	159256430	+	HPV16	5004	-	185+43	high	228
rep2.HPV16	chr19	384660	+	HPV16	6575	+	200+46	high	246
rep2.HPV16	chr2	75026196	+	HPV16	6643	+	0+51	high	51
rep2.HPV16	chr2	235603465	+	HPV16	5177	+	0+46	high	46
rep2.HPV16	chr22	48533641	+	HPV16	4079	-	209+35	high	244
rep2.HPV16	chr22	34770903	+	HPV16	2095	+	208+46	high	254
rep2.HPV16	chr15	79955525	+	HPV16	3417	-	188+51	high	239
rep2.HPV16	chr7	128292083	+	HPV16	3460	-	166+46	high	212
rep2.HPV16	chr18	46372623	+	HPV16	888	-	207+38	high	245
rep2.HPV16	chr4	77690764	+	HPV16	6171	+	207+34	high	241
rep2.HPV16	chr4	131983047	+	HPV16	2831	-	187+50	high	237
rep2.HPV16	chr4	88663207	+	HPV16	1858	-	187+49	high	236
rep2.HPV16	chr13	99349850	+	HPV16	2705	-	194+34	high	228
rep2.HPV16	chr13	107902469	+	HPV16	4694	+	210+34	high	244
rep2.HPV16	chr13	39193296	+	HPV16	6136	+	185+45	high	230
rep2.HPV16	chr3	44282433	+	HPV16	3203	+	209+34	high	243
rep2.HPV16	chr1	145871142	+	HPV16	3873	+	181+44	high	225
rep2.HPV16	chr1	157077011	+	HPV16	3112	+	184+39	high	223
rep2.HPV16	chr1	247077960	+	HPV16	3593	-	203+49	high	252
rep2.HPV16	chr1	240378934	+	HPV16	6038	-	207+33	high	240
rep2.HPV16	chr10	103165550	+	HPV16	1657	-	201+34	high	235
rep2.HPV16	chr10	131630298	+	HPV16	1441	+	181+44	high	225
rep2.HPV16	chr22	34770894	+	HPV16	2095	+	0+31	high	31
rep2.HPV16	chr16	16582719	-	HPV16	2346	+	163+43	high	206
rep2.HPV16	chr1	247077966	-	HPV16	3593	+	203+30	high	233
rep2.HPV16	chr16	50744501	-	HPV16	4437	+	202+47	high	249
rep2.HPV16	chrX	97706671	-	HPV16	4809	+	209+17	high	226
rep2.HPV16	chr19	384668	+	HPV16	6575	+	0+30	high	30
rep2.HPV16	chr11	49612245	+	HPV16	7868	+	198+45	low	243
rep2.HPV16	chr9	118510296	+	HPV16	5381	-	163+33	low	196
rep2.HPV16	chr19	53452684	+	HPV16	400	-	152+44	low	196
rep2.HPV16	chr7	144571496	+	HPV16	6837	+	180+40	low	220
rep2.HPV16	chr7	150194679	+	HPV16	6231	+	0+47	low	47
rep2.HPV16	chr13	37605366	+	HPV16	2320	-	200+46	low	246
rep2.HPV18	chr11	24519811	+	HPV18	3540	+	153+38	high	191
rep2.HPV18	chr13	98704488	+	HPV18	4120	+	192+44	high	236
rep2.HPV18	chr13	49542742	+	HPV18	5674	+	182+40	high	222
rep2.HPV18	chr17	66494143	+	HPV18	5491	+	0+41	high	41
rep2.HPV18	chr17	30848508	+	HPV18	3134	-	192+41	high	233
rep2.HPV18	chr18	9756298	+	HPV18	7162	-	187+42	high	229
rep2.HPV18	chr18	45138596	+	HPV18	4086	-	175+41	high	216
rep2.HPV18	chr14	28649514	+	HPV18	1907	+	0+39	high	39
rep2.HPV18	chr14	101750461	+	HPV18	3730	-	192+41	high	233
rep2.HPV18	chr2	38536198	+	HPV18	2699	-	182+42	high	224
rep2.HPV18	chr2	184006390	+	HPV18	6855	+	154+38	high	192
rep2.HPV18	chr12	72084840	+	HPV18	4743	+	185+43	high	228
rep2.HPV18	chr12	121385443	+	HPV18	3933	+	179+38	high	217
rep2.HPV18	chr20	13113046	+	HPV18	3021	-	188+41	high	229
rep2.HPV18	chr20	21810726	+	HPV18	123	-	154+39	high	193
rep2.HPV18	chr7	67320262	+	HPV18	4401	+	181+41	high	222
rep2.HPV18	chrX	18176647	+	HPV18	5343	+	153+38	high	191
rep2.HPV18	chrX	17198053	+	HPV18	4325	-	186+40	high	226
rep2.HPV18	chr5	26504274	+	HPV18	2577	-	173+36	high	209
rep2.HPV18	chr15	22897253	+	HPV18	2231	-	169+37	high	206
rep2.HPV18	chr15	68678149	+	HPV18	3226	-	143+36	high	179
rep2.HPV18	chr15	29652022	+	HPV18	4867	+	192+40	high	232
rep2.HPV18	chr15	96789406	+	HPV18	4532	+	154+38	high	192
rep2.HPV18	chr10	13069024	+	HPV18	5185	+	187+43	high	230
rep2.HPV18	chr10	94018329	+	HPV18	2180	+	182+40	high	222
rep2.HPV18	chr10	133010686	+	HPV18	5402	-	182+36	high	218
rep2.HPV18	chr6	136800592	+	HPV18	922	+	180+37	high	217
rep2.HPV18	chr19	55406432	+	HPV18	598	+	154+36	high	190
rep2.HPV18	chr21	14904043	-	HPV18	758	+	185+40	high	225
rep2.HPV18	chr1	153100809	-	HPV18	2094	+	200+47	high	247
rep2.HPV18	chr1	94461559	-	HPV18	3060	+	155+37	high	192
rep2.HPV18	chr21	38163012	+	HPV18	3276	+	191+40	high	231
rep2.HPV18	chr21	14193503	-	HPV18	3333	+	153+40	high	193
rep2.HPV18	chr19	56490359	-	HPV18	3469	+	184+39	high	223
rep2.HPV18	chr19	16374285	+	HPV18	3977	+	173+36	high	209
rep2.HPV18	chr19	9790430	+	HPV18	4596	+	183+33	high	216
rep2.HPV18	chr1	225113634	-	HPV18	5698	+	192+40	high	232
rep2.HPV18	chr9	83915066	-	HPV18	6053	+	168+31	high	199
rep2.HPV18	chr21	43195065	-	HPV18	6378	+	153+39	high	192
rep2.HPV18	chr17	22376019	+	HPV18	641	+	0+30	low	30
rep2.HPV18	chr14	66510492	+	HPV18	1727	-	0+42	low	42
rep2.HPV18	chr4	62759692	+	HPV18	3407	-	89+32	low	121
rep2.HPV18	chr16	8056009	+	HPV18	3587	+	155+38	low	193
rep2.HPV18	chr16	19222698	+	HPV18	4641	+	0+45	low	45
rep2.HPV18	chr10	116697641	+	HPV18	7848	+	0+50	low	50
rep2.HPV18	chr19	54505549	+	HPV18	3103	+	162+41	low	203
rep2.HPV18	chr19	53222487	-	HPV18	4908	+	137+37	low	174
rep2.HPV18	chr10	116697653	+	HPV18	7848	+	192+24	low	216
rep2.HPV31	chr13	62530294	+	HPV31	1045	-	175+39	high	214
rep2.HPV31	chr22	49136709	+	HPV31	7290	-	179+32	high	211
rep2.HPV31	chr10	2721866	+	HPV31	6839	+	133+34	high	167
rep2.HPV31	chr10	28585351	+	HPV31	5264	-	174+40	high	214
rep2.HPV31	chr10	76256603	+	HPV31	4093	+	176+38	high	214
rep2.HPV31	chr20	57119655	+	HPV31	5764	-	179+47	high	226
rep2.HPV31	chr20	57086991	+	HPV31	2381	-	175+34	high	209
rep2.HPV31	chrX	135890722	+	HPV31	5653	-	183+32	high	215
rep2.HPV31	chr21	16834377	+	HPV31	3368	-	179+40	high	219
rep2.HPV31	chr21	38948909	+	HPV31	6335	+	183+32	high	215
rep2.HPV31	chr21	40986559	+	HPV31	3039	-	172+38	high	210
rep2.HPV31	chr21	43672362	+	HPV31	518	+	175+34	high	209
rep2.HPV31	chr21	44986102	+	HPV31	3087	+	178+33	high	211
rep2.HPV31	chr16	77810200	+	HPV31	871	-	175+34	high	209
rep2.HPV31	chr12	62818402	+	HPV31	3333	-	178+34	high	212
rep2.HPV31	chr4	68863065	+	HPV31	7027	+	180+42	high	222
rep2.HPV31	chr1	15064828	+	HPV31	2039	+	176+40	high	216
rep2.HPV31	chr1	75217195	+	HPV31	6485	-	176+37	high	213
rep2.HPV31	chr1	94543367	+	HPV31	1000	+	175+40	high	215
rep2.HPV31	chr1	103459261	+	HPV31	1528	-	179+45	high	224
rep2.HPV31	chr9	128833687	+	HPV31	671	-	175+38	high	213
rep2.HPV31	chr8	3795799	+	HPV31	287	-	138+25	high	163
rep2.HPV31	chr8	98818595	+	HPV31	3766	+	177+33	high	210
rep2.HPV31	chr8	28066933	+	HPV31	6867	-	177+40	high	217
rep2.HPV31	chr8	142886175	+	HPV31	6030	+	177+49	high	226
rep2.HPV31	chr7	151951820	+	HPV31	5902	+	179+34	high	213
rep2.HPV31	chr19	55670175	+	HPV31	171	+	173+38	high	211
rep2.HPV31	chr6	120765441	+	HPV31	578	+	0+38	high	38
rep2.HPV31	chr3	145530372	+	HPV31	1243	+	180+41	high	221
rep2.HPV31	chr14	49183922	-	HPV31	2256	+	0+38	high	38
rep2.HPV31	chr18	50306669	+	HPV31	2689	+	178+34	high	212
rep2.HPV31	chr3	165153967	+	HPV31	2835	+	180+43	high	223
rep2.HPV31	chr19	14282692	-	HPV31	3139	+	178+39	high	217
rep2.HPV31	chr3	106328828	+	HPV31	3657	+	173+38	high	211
rep2.HPV31	chr17	59826001	+	HPV31	3712	+	180+40	high	220
rep2.HPV31	chr18	75964874	-	HPV31	4474	+	182+32	high	214
rep2.HPV31	chr14	29238319	-	HPV31	4861	+	179+42	high	221
rep2.HPV31	chr17	67334210	-	HPV31	5024	+	179+43	high	222
rep2.HPV31	chr19	57523766	+	HPV31	5098	+	182+34	high	216
rep2.HPV31	chr19	38171029	+	HPV31	5810	+	173+36	high	209
rep2.HPV31	chr11	7667840	+	HPV31	5939	+	176+34	high	210
rep2.HPV31	chr2	214236873	-	HPV31	7094	+	180+31	high	211
rep2.HPV31	chr6	5186680	+	HPV31	7477	+	179+44	high	223
rep2.HPV31	chr17	77246018	+	HPV31	6561	+	179+34	high	213
rep2.HPV31	chr7	93792968	+	HPV31	2637	+	0+24	low	24
rep2.HPV31	chr7	154091946	+	HPV31	5710	+	0+26	low	26
rep2.HPV31	chr2	214339835	-	HPV31	3822	+	0+39	low	39
rep2.HPV33	chr11	86241325	+	HPV33	5407	+	197+34	high	231
rep2.HPV33	chr9	103989811	+	HPV33	5119	+	184+37	high	221
rep2.HPV33	chr14	82108832	+	HPV33	4372	+	196+36	high	232
rep2.HPV33	chr14	20049223	+	HPV33	144	+	190+28	high	218
rep2.HPV33	chr14	97094718	+	HPV33	6860	-	198+36	high	234
rep2.HPV33	chr21	17625874	+	HPV33	6507	-	173+31	high	204
rep2.HPV33	chr21	28781972	+	HPV33	4109	-	178+30	high	208
rep2.HPV33	chr20	40901290	+	HPV33	3642	-	195+28	high	223
rep2.HPV33	chr20	58529941	+	HPV33	1177	-	178+32	high	210
rep2.HPV33	chr7	24144771	+	HPV33	1700	-	176+35	high	211
rep2.HPV33	chr7	45528014	+	HPV33	2682	-	197+34	high	231
rep2.HPV33	chr7	128439957	+	HPV33	3492	-	180+35	high	215
rep2.HPV33	chr16	84711437	+	HPV33	2285	+	190+28	high	218
rep2.HPV33	chr16	89567808	+	HPV33	3687	+	173+31	high	204
rep2.HPV33	chr16	6127832	+	HPV33	2630	-	197+37	high	234
rep2.HPV33	chr15	70697902	+	HPV33	5626	+	175+34	high	209
rep2.HPV33	chr15	30003283	+	HPV33	6664	+	0+32	high	32
rep2.HPV33	chr13	31827101	+	HPV33	312	+	174+30	high	204
rep2.HPV33	chr2	208567255	-	HPV33	691	+	199+30	high	229
rep2.HPV33	chrX	68864224	+	HPV33	754	+	173+33	high	206
rep2.HPV33	chr1	247214493	-	HPV33	1340	+	190+26	high	216
rep2.HPV33	chr2	226843002	+	HPV33	1571	+	186+28	high	214
rep2.HPV33	chr3	41820268	-	HPV33	1942	+	196+36	high	232
rep2.HPV33	chr3	168180696	-	HPV33	1063	+	189+29	high	218
rep2.HPV33	chrX	76794499	+	HPV33	2174	+	196+36	high	232
rep2.HPV33	chr3	175141466	+	HPV33	2226	+	173+29	high	202
rep2.HPV33	chr6	128006186	-	HPV33	2795	+	180+31	high	211
rep2.HPV33	chr19	6527919	-	HPV33	3324	+	190+31	high	221
rep2.HPV33	chr10	98737032	+	HPV33	3868	+	190+28	high	218
rep2.HPV33	chr13	21146683	+	HPV33	3902	+	180+32	high	212
rep2.HPV33	chr12	91364489	+	HPV33	4241	+	197+34	high	231
rep2.HPV33	chr6	78379637	-	HPV33	4660	+	190+29	high	219
rep2.HPV33	chr18	62772315	+	HPV33	3752	+	176+32	high	208
rep2.HPV33	chr1	164188268	+	HPV33	5477	+	198+36	high	234
rep2.HPV33	chrX	107249909	-	HPV33	5994	+	190+28	high	218
rep2.HPV33	chr5	74485139	+	HPV33	4980	+	180+31	high	211
rep2.HPV33	chr6	138045577	+	HPV33	6263	+	174+34	high	208
rep2.HPV33	chr12	94731009	+	HPV33	6581	+	178+31	high	209
rep2.HPV33	chr5	138215260	-	HPV33	6068	+	198+25	high	223
rep2.HPV33	chr12	33406157	-	HPV33	7258	+	181+32	high	213
rep2.HPV33	chr5	130277863	+	HPV33	7613	+	196+36	high	232
rep2.HPV33	chr9	116883530	+	HPV33	7897	-	190+27	low	217
rep2.HPV33	chr5	122593277	-	HPV33	2913	+	133+21	low	154
rep2.HPV33	chr19	19199605	-	HPV33	5329	+	196+14	low	210
rep2.HPV33	chr8	77803826	+	HPV33	6437	+	189+28	low	217
rep2.HPV33	chr12	41085929	+	HPV33	2134	-	0+19	low	19
rep2.HPV35	chr16	49615120	+	HPV35	6851	-	181+32	high	213
rep2.HPV35	chr9	81058822	+	HPV35	1238	-	184+48	high	232
rep2.HPV35	chr9	81577856	+	HPV35	7213	-	162+47	high	209
rep2.HPV35	chr9	76713545	+	HPV35	4393	-	162+51	high	213
rep2.HPV35	chr5	89347988	+	HPV35	5865	-	153+48	high	201
rep2.HPV35	chr5	152488917	+	HPV35	3983	+	162+47	high	209
rep2.HPV35	chr4	106382515	+	HPV35	7546	-	183+47	high	230
rep2.HPV35	chr4	185280134	+	HPV35	5613	+	162+46	high	208
rep2.HPV35	chr3	28706381	+	HPV35	4456	+	195+41	high	236
rep2.HPV35	chr3	128579873	+	HPV35	1807	+	183+36	high	219
rep2.HPV35	chr3	45968715	+	HPV35	5306	-	196+39	high	235
rep2.HPV35	chr3	150915932	+	HPV35	3700	-	163+47	high	210
rep2.HPV35	chr18	47086779	+	HPV35	147	+	179+47	high	226
rep2.HPV35	chr18	47086780	+	HPV35	147	+	179+26	high	205
rep2.HPV35	chr22	25813436	+	HPV35	167	+	179+53	high	232
rep2.HPV35	chr18	11661345	+	HPV35	363	+	199+43	high	242
rep2.HPV35	chr1	159232927	+	HPV35	1108	+	181+47	high	228
rep2.HPV35	chr12	58309601	+	HPV35	1284	+	162+46	high	208
rep2.HPV35	chr7	122245765	-	HPV35	1773	+	163+44	high	207
rep2.HPV35	chr2	210404193	-	HPV35	1857	+	183+46	high	229
rep2.HPV35	chr19	22513805	-	HPV35	2002	+	182+48	high	230
rep2.HPV35	chr7	133236943	+	HPV35	2412	+	183+48	high	231
rep2.HPV35	chr10	51907935	-	HPV35	2307	+	182+48	high	230
rep2.HPV35	chr8	54348737	+	HPV35	2918	+	180+32	high	212
rep2.HPV35	chr7	112964360	+	HPV35	3030	+	198+35	high	233
rep2.HPV35	chr22	16678705	+	HPV35	3604	+	0+25	high	25
rep2.HPV35	chr21	29817981	+	HPV35	3454	+	182+49	high	231
rep2.HPV35	chr2	143493525	+	HPV35	3877	+	162+46	high	208
rep2.HPV35	chr19	4488975	+	HPV35	3946	+	163+48	high	211
rep2.HPV35	chr14	104811594	+	HPV35	3632	+	183+48	high	231
rep2.HPV35	chr19	58070515	-	HPV35	4017	+	184+49	high	233
rep2.HPV35	chr1	110039324	+	HPV35	4241	+	162+49	high	211
rep2.HPV35	chr12	91310765	-	HPV35	4857	+	161+50	high	211
rep2.HPV35	chr1	12569069	+	HPV35	4793	+	0+30	high	30
rep2.HPV35	chr12	120316312	+	HPV35	4987	+	182+47	high	229
rep2.HPV35	chr21	23099820	-	HPV35	5911	+	0+37	high	37
rep2.HPV35	chr10	58006209	-	HPV35	6271	+	178+31	high	209
rep2.HPV35	chr15	52167892	-	HPV35	6738	+	190+31	high	221
rep2.HPV35	chr10	90128863	-	HPV35	6372	+	196+37	high	233
rep2.HPV35	chr14	95823719	+	HPV35	6781	+	0+38	high	38
rep2.HPV35	chr2	121940788	+	HPV35	5396	+	196+37	high	233
rep2.HPV35	chr15	42619517	+	HPV35	3604	+	181+48	high	229
rep2.HPV35	chr16	55827412	+	HPV35	1603	+	148+44	low	192
rep2.HPV35	chr13	72374057	+	HPV35	2220	+	184+46	low	230
rep2.HPV35	chr5	133795786	+	HPV35	3245	-	194+39	low	233
rep2.HPV35	chr3	128579893	+	HPV35	1807	+	0+42	low	42
rep2.HPV35	chr18	14208100	+	HPV35	2534	+	125+31	low	156
rep2.HPV35	chr19	35923241	+	HPV35	4793	-	184+48	low	232
rep2.HPV39	chr5	22088688	+	HPV39	5678	-	186+40	high	226
rep2.HPV39	chr6	41607271	+	HPV39	3670	-	184+40	high	224
rep2.HPV39	chr6	54785370	+	HPV39	5215	-	169+48	high	217
rep2.HPV39	chr6	128898422	+	HPV39	4495	+	187+41	high	228
rep2.HPV39	chr6	27740581	+	HPV39	2726	-	183+22	high	205
rep2.HPV39	chr19	22864209	+	HPV39	5624	-	0+47	high	47
rep2.HPV39	chr19	32808509	+	HPV39	6232	-	168+46	high	214
rep2.HPV39	chr17	39791313	-	HPV39	37	+	167+46	high	213
rep2.HPV39	chr11	85161270	+	HPV39	209	+	197+35	high	232
rep2.HPV39	chr10	112971304	+	HPV39	584	+	196+33	high	229
rep2.HPV39	chr3	83089032	-	HPV39	613	+	192+43	high	235
rep2.HPV39	chr8	40611307	+	HPV39	831	+	196+36	high	232
rep2.HPV39	chr7	156693644	+	HPV39	1689	+	167+48	high	215
rep2.HPV39	chr20	4861400	-	HPV39	1212	+	164+43	high	207
rep2.HPV39	chr4	39179267	+	HPV39	1945	+	190+43	high	233
rep2.HPV39	chr7	102886455	-	HPV39	2398	+	191+42	high	233
rep2.HPV39	chr7	996229	-	HPV39	2432	+	192+43	high	235
rep2.HPV39	chr3	183226427	-	HPV39	2311	+	196+35	high	231
rep2.HPV39	chr20	31158880	+	HPV39	2906	+	0+40	high	40
rep2.HPV39	chr3	159103217	-	HPV39	2560	+	191+45	high	236
rep2.HPV39	chr18	11008030	-	HPV39	3400	+	167+46	high	213
rep2.HPV39	chr7	88459008	-	HPV39	3443	+	180+51	high	231
rep2.HPV39	chr3	31129796	+	HPV39	3868	+	187+43	high	230
rep2.HPV39	chr9	92922732	+	HPV39	3073	+	156+45	high	201
rep2.HPV39	chr1	218786506	-	HPV39	3982	+	186+42	high	228
rep2.HPV39	chr12	48314682	+	HPV39	4172	+	192+40	high	232
rep2.HPV39	chr21	45546011	-	HPV39	4034	+	183+47	high	230
rep2.HPV39	chr10	95642321	-	HPV39	4225	+	197+34	high	231
rep2.HPV39	chr2	178128641	+	HPV39	4459	+	167+48	high	215
rep2.HPV39	chr3	52424434	-	HPV39	4426	+	167+49	high	216
rep2.HPV39	chr1	222254620	+	HPV39	5343	+	186+42	high	228
rep2.HPV39	chr8	3198352	-	HPV39	5372	+	189+37	high	226
rep2.HPV39	chr17	38560683	-	HPV39	5832	+	196+36	high	232
rep2.HPV39	chr14	93180153	-	HPV39	5931	+	167+38	high	205
rep2.HPV39	chr20	21608349	-	HPV39	6204	+	189+42	high	231
rep2.HPV39	chr8	107386191	-	HPV39	6260	+	168+50	high	218
rep2.HPV39	chr18	27029542	-	HPV39	6447	+	186+40	high	226
rep2.HPV39	chr1	240362443	-	HPV39	6402	+	167+49	high	216
rep2.HPV39	chr8	122583408	-	HPV39	6485	+	187+42	high	229
rep2.HPV39	chr15	91116810	+	HPV39	6531	+	187+42	high	229
rep2.HPV39	chr22	35793440	-	HPV39	6692	+	162+42	high	204
rep2.HPV39	chr4	155777927	-	HPV39	6789	+	192+45	high	237
rep2.HPV39	chr9	16155512	-	HPV39	7438	+	167+46	high	213
rep2.HPV39	chr10	31538360	+	HPV39	6622	+	196+35	high	231
rep2.HPV39	chr21	9614867	+	HPV39	4311	+	0+23	low	23
rep2.HPV39	chr2	51943715	+	HPV39	6030	+	181+53	low	234
rep2.HPV39	chr14	101849131	-	HPV39	6324	+	0+39	low	39
rep2.HPV45	chr16	78983786	+	HPV45	3734	+	181+34	high	215
rep2.HPV45	chr12	74847074	-	HPV45	55	+	182+35	high	217
rep2.HPV45	chr8	12936191	-	HPV45	116	+	181+35	high	216
rep2.HPV45	chr3	127570937	-	HPV45	362	+	176+31	high	207
rep2.HPV45	chr8	58286907	+	HPV45	609	+	181+35	high	216
rep2.HPV45	chr14	49458752	-	HPV45	717	+	183+35	high	218
rep2.HPV45	chr2	132831041	-	HPV45	1076	+	185+35	high	220
rep2.HPV45	chr7	106401822	-	HPV45	1226	+	181+37	high	218
rep2.HPV45	chr12	107024165	-	HPV45	1275	+	175+39	high	214
rep2.HPV45	chr11	96676018	-	HPV45	1371	+	177+37	high	214
rep2.HPV45	chr9	113301384	-	HPV45	1527	+	176+31	high	207
rep2.HPV45	chr2	82425479	+	HPV45	1902	+	179+39	high	218
rep2.HPV45	chr2	20204305	-	HPV45	2105	+	174+31	high	205
rep2.HPV45	chr22	43040893	-	HPV45	2176	+	179+40	high	219
rep2.HPV45	chr14	30275954	-	HPV45	2282	+	173+30	high	203
rep2.HPV45	chr18	36974675	+	HPV45	1732	+	182+38	high	220
rep2.HPV45	chr12	94481657	-	HPV45	2433	+	175+32	high	207
rep2.HPV45	chr17	70919978	-	HPV45	2378	+	175+32	high	207
rep2.HPV45	chrY	13388920	-	HPV45	2495	+	188+33	high	221
rep2.HPV45	chr3	72318617	-	HPV45	2891	+	197+36	high	233
rep2.HPV45	chr7	46811645	+	HPV45	2748	+	173+31	high	204
rep2.HPV45	chr9	33554207	+	HPV45	3560	+	136+28	high	164
rep2.HPV45	chr3	100234035	+	HPV45	3712	+	184+35	high	219
rep2.HPV45	chr7	23306451	+	HPV45	3793	+	188+32	high	220
rep2.HPV45	chr3	29314840	-	HPV45	4089	+	180+35	high	215
rep2.HPV45	chr19	40542750	-	HPV45	4366	+	179+39	high	218
rep2.HPV45	chr11	17536467	+	HPV45	4619	+	196+36	high	232
rep2.HPV45	chr22	19618983	-	HPV45	4710	+	179+39	high	218
rep2.HPV45	chr17	82240814	+	HPV45	4901	+	0+38	high	38
rep2.HPV45	chr17	82240828	+	HPV45	4901	+	180+18	high	198
rep2.HPV45	chr9	95852399	+	HPV45	5660	+	185+35	high	220
rep2.HPV45	chr8	88444669	-	HPV45	5161	+	182+33	high	215
rep2.HPV45	chr9	114161857	-	HPV45	6244	+	174+31	high	205
rep2.HPV45	chr21	25720534	+	HPV45	6962	+	181+33	high	214
rep2.HPV45	chr18	67880071	+	HPV45	7471	+	176+39	high	215
rep2.HPV45	chr7	82221541	+	HPV45	7650	+	170+32	high	202
rep2.HPV45	chr15	55772284	+	HPV45	3875	-	176+35	high	211
rep2.HPV45	chr5	127169106	+	HPV45	4302	-	178+39	high	217
rep2.HPV45	chr4	112050471	+	HPV45	2929	+	182+35	high	217
rep2.HPV45	chr11	63973835	+	HPV45	2699	+	175+35	high	210
rep2.HPV45	chr19	8217680	+	HPV45	6474	-	155+31	high	186
rep2.HPV45	chr20	29181257	+	HPV45	5821	+	0+23	low	23
rep2.HPV45	chr21	30623185	-	HPV45	3875	+	0+16	low	16
rep2.HPV45	chr21	24236184	-	HPV45	4238	+	188+24	low	212
rep2.HPV45	chr19	47023580	-	HPV45	6014	+	167+31	low	198
rep2.HPV45	chr22	20363742	-	HPV45	6112	+	162+25	low	187
rep2.HPV45	chr7	88418505	+	HPV45	185	-	184+35	low	219
rep3.HPV16	chrY	16426184	+	HPV16	5904	-	0+32	high	32
rep3.HPV16	chr1	35735070	+	HPV16	1614	-	174+38	high	212
rep3.HPV16	chr1	203250793	+	HPV16	6604	-	163+47	high	210
rep3.HPV16	chr21	25267141	+	HPV16	3377	+	162+47	high	209
rep3.HPV16	chr7	105552877	+	HPV16	781	-	0+31	high	31
rep3.HPV16	chr7	155754048	+	HPV16	1139	+	190+32	high	222
rep3.HPV16	chr5	55972859	+	HPV16	457	-	164+49	high	213
rep3.HPV16	chr5	63765901	+	HPV16	2598	-	164+46	high	210
rep3.HPV16	chr5	133281039	+	HPV16	3983	-	188+36	high	224
rep3.HPV16	chrX	137613070	+	HPV16	4228	+	0+29	high	29
rep3.HPV16	chr13	42309410	+	HPV16	5251	-	163+47	high	210
rep3.HPV16	chr13	57114675	+	HPV16	5801	-	170+34	high	204
rep3.HPV16	chr13	89946135	+	HPV16	3487	+	193+32	high	225
rep3.HPV16	chr12	110599695	+	HPV16	6982	+	150+48	high	198
rep3.HPV16	chr15	54263866	+	HPV16	5577	+	190+32	high	222
rep3.HPV16	chr15	83847693	+	HPV16	3120	-	170+29	high	199
rep3.HPV16	chr16	67077400	+	HPV16	5630	-	190+36	high	226
rep3.HPV16	chr19	33328469	+	HPV16	6799	+	180+31	high	211
rep3.HPV16	chr19	47808087	+	HPV16	3039	-	0+30	high	30
rep3.HPV16	chr2	46633179	+	HPV16	4515	+	168+36	high	204
rep3.HPV16	chr2	85500148	+	HPV16	4678	+	180+35	high	215
rep3.HPV16	chr2	233796882	+	HPV16	2723	+	163+47	high	210
rep3.HPV16	chr2	122823937	+	HPV16	1776	+	173+35	high	208
rep3.HPV16	chr20	19482199	+	HPV16	5712	-	191+34	high	225
rep3.HPV16	chr20	53690001	+	HPV16	4414	+	185+34	high	219
rep3.HPV16	chr20	13776811	+	HPV16	5396	-	170+36	high	206
rep3.HPV16	chr9	79266811	+	HPV16	2847	+	163+47	high	210
rep3.HPV16	chr9	130533602	+	HPV16	6759	+	162+45	high	207
rep3.HPV16	chr4	44813033	-	HPV16	650	+	173+31	high	204
rep3.HPV16	chr18	79012292	-	HPV16	834	+	168+36	high	204
rep3.HPV16	chr18	44484576	-	HPV16	1885	+	0+30	high	30
rep3.HPV16	chr10	528780	-	HPV16	2051	+	163+47	high	210
rep3.HPV16	chr3	71763762	-	HPV16	2316	+	172+34	high	206
rep3.HPV16	chr6	30336447	-	HPV16	2374	+	163+47	high	210
rep3.HPV16	chr4	44836887	+	HPV16	2134	+	188+36	high	224
rep3.HPV16	chr14	83267781	-	HPV16	2528	+	168+31	high	199
rep3.HPV16	chr14	92979440	+	HPV16	3338	+	172+37	high	209
rep3.HPV16	chr14	95941069	+	HPV16	3568	+	162+47	high	209
rep3.HPV16	chr11	103376795	-	HPV16	4080	+	173+36	high	209
rep3.HPV16	chr4	141777089	-	HPV16	4876	+	170+31	high	201
rep3.HPV16	chr3	80341555	-	HPV16	5955	+	0+30	high	30
rep3.HPV16	chr22	23681745	-	HPV16	6416	+	190+33	high	223
rep3.HPV16	chr3	9840609	-	HPV16	6656	+	170+38	high	208
rep3.HPV16	chr11	95109578	+	HPV16	7245	+	168+36	high	204
rep3.HPV16	chr22	32745834	+	HPV16	7689	+	170+35	high	205
rep3.HPV16	chr4	71788950	+	HPV16	5307	-	164+47	high	211
rep3.HPV16	chr9	67543183	+	HPV16	6567	-	0+42	low	42
rep3.HPV16	chr11	134385267	+	HPV16	613	+	192+35	low	227
rep3.HPV16	chr18	27315889	-	HPV16	6229	+	190+36	low	226
rep3.HPV18	chr2	76163480	+	HPV18	730	-	191+48	high	239
rep3.HPV18	chr2	100731539	+	HPV18	2887	+	193+48	high	241
rep3.HPV18	chr17	559095	+	HPV18	1133	-	191+50	high	241
rep3.HPV18	chr17	16945693	+	HPV18	5109	+	188+47	high	235
rep3.HPV18	chr17	16947160	+	HPV18	2361	-	193+48	high	241
rep3.HPV18	chr17	48613759	+	HPV18	4317	-	189+48	high	237
rep3.HPV18	chr17	72505440	+	HPV18	4760	+	183+44	high	227
rep3.HPV18	chr4	21566017	+	HPV18	5883	+	170+40	high	210
rep3.HPV18	chr4	102681059	+	HPV18	4042	+	0+30	high	30
rep3.HPV18	chr10	85898112	+	HPV18	418	+	183+41	high	224
